candidate,split_mode,condition,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
subject_lora_rank4,random_disjoint,personal_state_swapped,MIMIC,1011,40440,14.443785667419434,7.548985481262207,10.99638557434082,17.148216247558594,9.10468864440918,1.568182110786438,1.241797685623169,17.263168334960938,20.78067302703857,304,16.810115814208984,707,8.496562957763672,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,personal_state_swapped,VitalDB,1040,41600,14.121505737304688,7.890711307525635,11.006108283996582,16.742570877075195,9.335402488708496,1.0052504539489746,0.4715286195278168,17.564027976989745,20.159377861022943,312,16.613048553466797,728,8.603135108947754,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,personal_state_zero,Overall,2051,82040,9.732813835144045,5.265841960906982,7.499328136444092,12.14822769165039,6.608557224273682,1.6087639331817627,0.8958860635757446,10.865397453308104,12.288352966308594,616,10.661524772644045,1435,6.141897678375244,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,personal_state_zero,MIMIC,1011,40440,9.886367797851562,5.317352771759033,7.601860523223877,12.25413703918457,6.620028018951416,2.3537817001342773,1.422267198562622,11.367393493652344,13.075664520263672,304,11.143731117248535,707,6.0789055824279785,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,personal_state_zero,VitalDB,1040,41600,9.583540916442873,5.215768337249756,7.399654865264893,12.045269966125488,6.597406387329102,0.8845202922821045,0.384182870388031,10.35656623840332,11.660036802291868,312,10.177091598510742,728,6.209325313568115,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_mean,Overall,2051,82040,10.4163179397583,5.5423264503479,7.9793219566345215,13.036792755126951,7.041491985321045,0.1135265231132507,0.0458869412541389,11.882680892944336,13.458054065704346,616,11.590195655822754,1435,6.429288864135742,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_mean,MIMIC,1011,40440,9.97267246246338,5.220253944396973,7.596463203430176,12.387171745300291,6.627371311187744,0.0842943489551544,-0.0190467406064271,11.95863914489746,13.719141960144045,304,11.534255027770996,707,5.903268337249756,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_mean,VitalDB,1040,41600,10.847590446472168,5.855418205261231,8.3515043258667,13.668301582336426,7.444064617156982,0.14194355905056,0.1090099811553955,11.860822010040284,13.083154582977295,312,11.601758003234863,728,6.95853853225708,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_median,Overall,2051,82040,10.278189659118652,5.4471116065979,7.862650394439697,13.21804904937744,7.14065408706665,-0.4092828333377838,-0.4923302233219147,11.605000495910645,13.237483501434326,616,11.412726402282717,1435,6.338715553283691,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_median,MIMIC,1011,40440,9.833358764648438,5.101841449737549,7.467600345611572,12.582100868225098,6.749162673950195,-0.1620954722166061,-0.6697114706039429,11.489521026611328,13.338634490966797,304,11.285933494567873,707,5.825771331787109,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,train_bp_median,VitalDB,1040,41600,10.710616111755373,5.782753467559815,8.246685028076172,13.836264610290527,7.521228313446045,-0.6495774388313293,-0.3198951184749603,11.681356525421144,13.182907342910768,312,11.484137535095217,728,6.8592047691345215,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,natural,Overall,2051,82040,5.235729217529297,2.910088062286377,4.072908401489258,6.967701435089111,4.014150619506836,-0.2299209237098693,-0.2104789763689041,5.978054046630859,6.913345813751221,616,5.827120780944824,1435,3.319880723953247,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,natural,MIMIC,1011,40440,5.590533256530762,3.0812418460845947,4.335887908935547,7.429727077484131,4.333802700042725,-0.0974422618746757,-0.3948468565940857,6.5152740478515625,7.347261190414429,304,6.309439182281494,707,3.487287998199463,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,natural,VitalDB,1040,41600,4.890818595886231,2.743706703186035,3.817262649536133,6.518560409545898,3.703411340713501,-0.358705461025238,-0.0312521196901798,5.417909526824952,6.063095641136168,312,5.274979114532471,728,3.1925265789031982,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,ppg_permuted_1,Overall,2051,82040,13.369983673095703,7.033548831939697,10.20176601409912,16.892887115478516,8.984724998474121,-0.2299205064773559,-0.210479587316513,15.407760620117188,17.669981002807617,616,15.00669288635254,1435,8.13916301727295,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,ppg_permuted_1,MIMIC,1011,40440,12.454066276550291,6.387320518493652,9.420693397521973,15.704360008239746,8.227046012878418,-0.0974422618746757,-0.3948468565940857,14.728992462158203,17.232150077819824,304,14.428184509277344,707,7.267543792724609,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,ppg_permuted_1,VitalDB,1040,41600,14.260360717773438,7.661757469177246,10.961058616638184,18.04827308654785,9.72127628326416,-0.3587046265602112,-0.0312533378601074,15.778044033050538,17.931540393829344,312,15.428129196166992,728,9.04659938812256,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,ppg_permuted_2,Overall,2051,82040,13.311424255371094,6.998274803161621,10.1548490524292,16.844375610351562,8.951902389526367,-0.2299202531576156,-0.2104781121015548,15.095691680908203,17.360852241516113,616,14.962413787841797,1435,8.09111499786377,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
