split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,subject_lora_rank4,VitalDB,train_bp_median,DBP,5.782753490668076,0.579182018204392,-0.3198951185666597,7.941439697241663,55.80288461538462,82.8798076923077,93.72115384615384,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,Overall,natural,SBP,5.235729023167588,0.8749087938018374,-0.2299209206933105,7.481762522673316,61.52852267186738,86.73451974646514,94.98537298878595,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,Overall,natural,DBP,2.910088056520623,0.8747435640578617,-0.2104789734816679,4.534785695391046,84.49780594831789,96.86006825938568,98.94076060458312,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,MIMIC,natural,SBP,5.590533553292325,0.8764451649396654,-0.0974422698204878,7.999400247443392,59.102373887240354,84.90850642927794,93.87487636003956,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,MIMIC,natural,DBP,3.0812418250490485,0.8564728982505373,-0.3948468556861613,5.021712025394618,83.4248269040554,96.06330365974284,98.47922848664687,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,VitalDB,natural,SBP,4.8908180809021,0.8654576784367543,-0.3587054553398719,6.939329737361464,63.887019230769226,88.50961538461539,96.06490384615384,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,VitalDB,natural,DBP,2.74370684499924,0.893564180981447,-0.0312521187617228,3.997005962860411,85.54086538461539,97.6346153846154,99.38942307692308,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,Overall,ppg_permuted_1,SBP,13.369982853986649,0.2579211064479789,-0.2299205095578495,18.22997219503556,28.36421257922964,50.97757191613847,66.48586055582642,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,ppg_permuted_1,DBP,7.033548954694461,0.4152533738092848,-0.2104795913473098,9.806361320828904,49.41004388103365,76.07264748902975,88.96026328620185,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,MIMIC,ppg_permuted_1,SBP,12.454065876591924,0.4272842509296912,-0.0974422698204878,17.22353873576109,30.680019782393668,54.54253214638971,69.8837784371909,FAIL*,FAIL (Grade D)*
