Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
R6-5 Causal GRU residual,Overall,SBP,11.546880565091874,0.5249651679117308,-1.0942629190773605,15.133684111644161,29.729442663473794,54.220578579429144,71.65617396006334,FAIL*,Grade D*
R6-5 Causal GRU residual,Overall,DBP,6.766053419170634,0.48468047669566006,-0.506371925296392,9.437429215825457,48.74377196709281,78.76385616623537,91.45649067243443,FAIL*,Grade C*
R6-5 Causal GRU residual,MIMIC,SBP,11.946695854842636,0.5204977140518181,-1.3121162467630325,15.60072557146294,28.821376462151,52.779632514776075,70.06330835620842,FAIL*,Grade D*
R6-5 Causal GRU residual,MIMIC,DBP,7.032610293760905,0.46757311226877296,-0.7265296374282667,9.82461173439849,47.25993520785419,77.69740584118506,90.55073323936,FAIL*,Grade C*
R6-5 Causal GRU residual,VitalDB,SBP,10.121818346347796,0.5163500438290283,-0.3177679863646658,13.307962845503534,32.96606434552666,59.35654473336272,77.33362714852358,FAIL*,Grade D*
R6-5 Causal GRU residual,VitalDB,DBP,5.815964363392163,0.5597950771058325,0.27833652824936556,7.854762647655398,54.03261348611723,82.56500661084178,94.68488320846188,PASS*,Grade B*
R6-6 Supervised MoE,Overall,SBP,11.869050738064846,0.5009983510344019,-1.1501757163569557,15.508656548414677,28.742613263296125,52.83303078289753,70.35939129427214,FAIL*,Grade D*
R6-6 Supervised MoE,Overall,DBP,6.789856446011591,0.4753923635710823,-0.9567506693766226,9.487678005703373,48.7032173342088,78.86041481595922,91.5936039550423,FAIL*,Grade C*
R6-6 Supervised MoE,MIMIC,SBP,12.326539507095966,0.4935407752387725,-1.3027648726636996,16.037035517353637,27.70729777184262,51.167247817592795,68.51027524297054,FAIL*,Grade D*
R6-6 Supervised MoE,MIMIC,DBP,7.049652200218384,0.4578174986386463,-1.048328906995217,9.885853281500259,47.361327497094244,77.70358829784603,90.7510448351757,FAIL*,Grade C*
R6-6 Supervised MoE,VitalDB,SBP,10.238422853242328,0.5056972527426518,-0.6063019646094194,13.443893688940287,32.43278977523138,58.77038342882327,76.95019832525341,FAIL*,Grade D*
R6-6 Supervised MoE,VitalDB,DBP,5.8638660614492135,0.5525977117679249,-0.6303382238426335,7.898572446202972,53.48611723226091,82.98369325694138,94.59673865138828,PASS*,Grade B*
R6-7 Morphology cluster MoE,Overall,SBP,11.699709245817793,0.5136158715985031,-1.3289207596216654,15.295757946594165,29.290100807230314,53.58811942373798,71.1096520026264,FAIL*,Grade D*
R6-7 Morphology cluster MoE,Overall,DBP,6.7993102841615665,0.47741225442126334,-1.0011369138324835,9.46461925417171,48.64528214437449,78.69819628442316,91.19481673168282,FAIL*,Grade C*
R6-7 Morphology cluster MoE,MIMIC,SBP,12.133249563860362,0.5076170031903737,-1.5627698123176423,15.787532573214117,28.238989044686797,51.974676657516625,69.39560303682272,FAIL*,Grade D*
R6-7 Morphology cluster MoE,MIMIC,DBP,7.066266599994801,0.45968856336918806,-1.0816312777834187,9.864993844986047,47.23767836387467,77.54284442466059,90.22182654499592,FAIL*,Grade C*
R6-7 Morphology cluster MoE,VitalDB,SBP,10.154440859684039,0.5118796986954375,-0.49541224099079556,13.363954744940765,33.03657999118555,59.33891582194799,77.2190392243279,FAIL*,Grade D*
R6-7 Morphology cluster MoE,VitalDB,DBP,5.847797499379853,0.5553226865599536,-0.7142307353323539,7.8671622391898905,53.66240634640811,82.81621859850155,94.66284706919348,PASS*,Grade B*
