Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
QGHuber-weight2 | participant top30 route,VitalDB,DBP,5.90152821328578,0.5502230336578466,-0.016327642858580065,7.94466908329996,53.080652269722336,82.60907888937858,94.37637725870428,PASS*,Grade B*
QGHuber-weight2 | oracle true-tail route,Overall,SBP,11.63402040766001,0.5135257714472281,-1.261019615929767,15.302932393699669,29.714958866015216,53.96180139816925,71.40319029778688,FAIL*,Grade D*
QGHuber-weight2 | oracle true-tail route,Overall,DBP,6.897633306240962,0.4753067860844512,-0.616629485602193,9.516617695649023,47.76659843188753,77.61094588853268,90.62318952531768,FAIL*,Grade C*
QGHuber-weight2 | oracle true-tail route,MIMIC,SBP,12.036464919834518,0.508649180539952,-1.5424594287186957,15.77281338315219,28.79417365284269,52.57313846229938,69.75542201449167,FAIL*,Grade D*
QGHuber-weight2 | oracle true-tail route,MIMIC,DBP,7.180339531872909,0.4585165256652636,-0.7597088333961178,9.905782089133323,46.22746494547073,76.11469693597448,89.60852684422682,FAIL*,Grade C*
QGHuber-weight2 | oracle true-tail route,VitalDB,SBP,10.199586847607078,0.5062027876151503,-0.2578832818842922,13.448203146874512,32.99691494050243,58.91141472014103,77.27633318642575,FAIL*,Grade D*
QGHuber-weight2 | oracle true-tail route,VitalDB,DBP,5.889983095057266,0.5488788170828425,-0.10665155816782199,7.955834009607146,53.25253415601586,82.94402820625827,94.2397531952402,PASS*,Grade B*
QGHuber-weight2 | event soft fusion,Overall,SBP,11.596924668972813,0.5176841024890615,-1.2142084923375625,15.24074382710553,29.673438646633965,53.98207871461126,71.45822872812947,FAIL*,Grade D*
QGHuber-weight2 | event soft fusion,Overall,DBP,6.807614447766902,0.486935647457881,-0.6206302203055178,9.409856844076694,48.46182070989919,78.07925533969333,90.95342010737322,FAIL*,Grade C*
QGHuber-weight2 | event soft fusion,MIMIC,SBP,11.994992465509503,0.5130757245745168,-1.4726216824079479,15.707626208883724,28.723693646907535,52.53233424833692,69.86423325172491,FAIL*,Grade D*
QGHuber-weight2 | event soft fusion,MIMIC,DBP,7.073749150939965,0.4712580518622307,-0.7550982417125103,9.788205957332712,47.05962361203848,76.77251032470262,89.93990652125528,FAIL*,Grade C*
QGHuber-weight2 | event soft fusion,VitalDB,SBP,10.178091042833175,0.5092972138205387,-0.29314598313736995,13.405259415290654,33.05861613045394,59.149405024239755,77.13970912296165,FAIL*,Grade D*
