Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.260987654639056,0.22013740687988448,-2.6863229691492583,19.525721834828296,21.943902337748618,41.62998795831084,58.30461321263962,FAIL*,FAIL (Grade D)*
inception_time | QGH,Overall,DBP,6.876355023352391,0.4583647861442668,-1.564377131769696,9.520210498023399,48.671261885977664,77.45297512768343,90.78395548727318,FAIL*,FAIL (Grade C)*
inception_time_wide | Population,Overall,SBP,15.449342168728672,0.2068520036331709,-2.33558592454165,19.73912389843243,21.409292862184945,40.98845658763443,57.56861686666943,FAIL*,FAIL (Grade D)*
inception_time_wide | Population,Overall,DBP,8.940131562095553,0.1796516844917837,-0.24455433709625496,11.870957071081225,36.2465224432172,64.86733380392809,83.2537474567122,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,Overall,SBP,12.32560532843933,0.4663263573678671,-0.984106206466035,16.274781269587958,28.250217996096833,51.681684175559525,68.85770045260142,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,Overall,DBP,6.807926711263248,0.47369672635809335,-0.6544778592200621,9.48780909624085,48.603786903624965,78.00523190632396,91.14624423867458,FAIL*,FAIL (Grade C)*
patch_transformer | Population,Overall,SBP,15.75694957160049,0.1812465562854022,-3.270803910323609,19.928484963740665,20.85080762363493,39.87044803388282,56.529502138437906,FAIL*,FAIL (Grade D)*
patch_transformer | Population,Overall,DBP,9.042270901970896,0.17344283125667193,-0.5183775016355073,11.907045061356792,35.50014533073122,63.96109288709878,82.4253622887514,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,Overall,SBP,12.740574427803164,0.4361023448070135,-0.862012468971868,16.73766078781705,26.79068222397542,49.922144251131506,67.45318274301374,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,Overall,DBP,7.071944060561968,0.4446919399399136,-0.7100372607850733,9.743062787006364,46.70410663123365,76.33911888053814,90.34484906365486,FAIL*,FAIL (Grade C)*
patch_transformer_deep | Population,Overall,SBP,15.607066044385938,0.18889131185568075,-3.3769605235154816,19.81491221727296,21.05323257069302,40.60540630320143,57.40356267906822,FAIL*,FAIL (Grade D)*
patch_transformer_deep | Population,Overall,DBP,9.15764528128297,0.16154291864463688,0.15134129197682744,12.00285686712096,34.77868205788315,63.24689615081177,81.82120167753187,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,Overall,SBP,12.778430386982183,0.42793661874908717,-0.933499305380608,16.854924987963823,27.274425943611675,50.46505833990782,67.07843707179339,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,Overall,DBP,7.092073026750037,0.4351958783598324,-0.5485518500059837,9.83679044744193,46.80480006643691,76.23012083212224,90.0936345139725,FAIL*,FAIL (Grade C)*
patch_transformer_wide | Population,Overall,SBP,15.621067334278395,0.1950662602595864,-2.4980239049898056,19.867527106608946,20.882987999833908,39.95245608935764,56.66445210314329,FAIL*,FAIL (Grade D)*
patch_transformer_wide | Population,Overall,DBP,9.148249787864835,0.16707245604719645,0.4345285760357854,11.956269987741356,34.552381347838725,63.09326080637794,82.18868081219117,FAIL*,FAIL (Grade D)*
patch_transformer_wide | QGH,Overall,SBP,12.917085037229814,0.41634390907601593,-0.6496753885731709,17.0385586151084,26.7709587675954,49.62110202217332,66.9331063405722,FAIL*,FAIL (Grade D)*
