Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.392578401167812,0.21804617826696882,-3.8023099067166166,19.36631624355552,20.989909894946642,40.74347049786156,57.73159490096749,FAIL*,FAIL (Grade D)*
bp_crnn | Population,Overall,SBP,15.40616160106055,0.21766810089695665,-2.393389514008849,19.595200256141503,21.153926005896277,40.505750944649755,57.342316156625,FAIL*,FAIL (Grade D)*
bp_crnn | Population,Overall,DBP,9.046889514849045,0.18736710227169795,0.4171148061499775,11.810144958155627,34.42885022630071,64.07735747207573,82.90599177843292,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,Overall,SBP,12.7380404669373,0.4358781218278803,-1.280306369761245,16.7142110746566,26.916289498816592,49.77785159656189,67.31823277830836,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,Overall,DBP,6.987206400633424,0.4546419951304401,-0.5590254209957729,9.66483159607692,46.98957771041814,76.84050990325126,90.59710168998879,FAIL*,FAIL (Grade C)*
resunet_encoder | Population,Overall,SBP,15.174599952733406,0.2463531495226744,-1.6043597474947675,19.30899961915007,21.07607025702778,40.816135863472155,57.843707179338125,FAIL*,FAIL (Grade D)*
resunet_encoder | Population,Overall,DBP,8.94755930237473,0.1889608624532637,-0.5758860102589135,11.79186031456414,35.654818751816634,64.632728480671,83.22883361707429,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,Overall,SBP,12.450214459051438,0.45544989144270687,-0.9252355188375473,16.443806330548814,27.88585309139227,51.216625835651705,68.5120209276253,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,Overall,DBP,7.018700925857454,0.45438286595288346,-0.7022215115090064,9.657789314181821,46.51413860399452,76.37441348669186,90.8503923929743,FAIL*,FAIL (Grade C)*
resnet_small | Population,MIMIC,SBP,16.256914664129017,0.18402794301661818,-4.593612360205816,20.137632856313616,19.36320976698533,38.188589945275844,54.806179661974106,FAIL*,FAIL (Grade D)*
resnet_small | Population,MIMIC,DBP,8.878547437734934,0.18872495866212924,-0.0948977418226286,11.871829087015806,37.60101111962675,65.6407567262313,82.73835935083969,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,SBP,13.103368895123936,0.4303251402530236,-1.1505378272190965,17.21996319939947,26.6629018595458,49.067537950600354,66.0656421013002,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,DBP,7.04568817209394,0.44443506900063223,-0.9087851918365485,9.782477080439177,47.350516988692135,76.61113576163393,90.13889449128044,FAIL*,FAIL (Grade C)*
tcn_bp | Population,MIMIC,SBP,16.29924586699566,0.18217200963894187,-0.2947053260132474,20.676298650804068,19.99650410767348,38.11194922888683,54.34499078966829,FAIL*,FAIL (Grade D)*
tcn_bp | Population,MIMIC,DBP,9.175041310812043,0.13045910360629764,-1.3595785783728618,12.215721344941425,36.26584916569185,64.24239979562476,81.744719185726,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,MIMIC,SBP,13.275148285924084,0.4253110448467142,-0.5356885789217881,17.32586244757697,25.849434606644884,47.866833393839165,65.02897556909093,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,MIMIC,DBP,7.1866132508204235,0.43001899472146343,-0.6930391937918368,9.927087694552794,46.27216866335901,76.03834724967395,89.89956032431124,FAIL*,FAIL (Grade C)*
fewshot_resnet_attention | Population,MIMIC,SBP,16.1862140465692,0.20507300529434525,-0.6727012524924679,20.375720966105312,19.570274158632834,37.72336735105482,53.86228873381469,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | Population,MIMIC,DBP,9.59893492145864,0.13248211087741701,2.513123484421497,12.01686227200941,32.1420407943743,59.007973323652394,80.12854127169805,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,MIMIC,SBP,13.469189266776718,0.4030757344447562,-0.8603022507482047,17.64533753666722,26.014817205168544,47.97305473760639,64.69821037204362,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,MIMIC,DBP,7.5045804068653705,0.39169258782004013,-0.33153394092851796,10.275028869623451,43.951433988140856,73.84400252779906,88.92071047288667,FAIL*,FAIL (Grade C)*
bp_crnn | Population,MIMIC,SBP,16.191993770509423,0.18811227393393348,-3.211170045921124,20.35137825962509,19.89700563376494,38.29750043698654,54.76046414693504,FAIL*,FAIL (Grade D)*
bp_crnn | Population,MIMIC,DBP,9.221040404314225,0.16410223194397588,0.6971948892676216,12.030841553364816,33.892676105575944,63.42220967286515,82.27717047853388,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,MIMIC,SBP,13.284216835761356,0.42393266711581723,-1.5857791752967405,17.282315305377296,25.862880346362253,47.817084156884896,65.01956355128877,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,MIMIC,DBP,7.174341804441432,0.43272647725992086,-0.5694233118377517,9.911243106371614,46.11350893469404,75.88372124292418,89.79602812848749,FAIL*,FAIL (Grade C)*
resunet_encoder | Population,MIMIC,SBP,15.986087096418945,0.21783995169944437,-1.8817119055264409,20.13470967459034,19.516491199763355,38.21817057265405,54.98769714815861,FAIL*,FAIL (Grade D)*
resunet_encoder | Population,MIMIC,DBP,9.114739927827019,0.1629270028060813,-0.16215420512545284,12.058404678603521,35.51557688946257,64.10794239845104,82.39549298804674,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,MIMIC,SBP,13.05818935861463,0.43832168666628757,-1.2577041337616819,17.090585219420472,26.314657200865906,48.965350328748336,66.16245142726527,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,MIMIC,DBP,7.2951472716496255,0.42306511010080494,-0.7195937772114791,9.985875623144151,44.895324916300275,74.71394188751295,89.92779637771771,FAIL*,FAIL (Grade C)*
resnet_small | Population,VitalDB,SBP,12.465155436314516,0.280115640067786,-1.1222453603642237,16.20385616925963,26.499385217906095,49.39660275968851,67.63969215355891,FAIL*,FAIL (Grade D)*
resnet_small | Population,VitalDB,DBP,8.337351818245864,0.26248533983088296,-1.5870120269022656,10.721047154297846,36.645566738011745,67.0112482353477,85.94653672753768,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,SBP,10.22402278704374,0.48697285438941507,-0.12493001119621157,13.711289297334291,32.8475795801266,59.442597568195275,77.44432806594106,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,DBP,6.0370334926835705,0.5528181638699744,-1.0830333117254642,8.369407213052046,52.56614599936245,82.15765745252516,94.0024591283756,FAIL*,PASS (Grade B)*
tcn_bp | Population,VitalDB,SBP,12.766633689580376,0.25875871140787265,0.44406104251023415,16.475866325405406,24.87362812514231,48.25811740061023,66.07313629946718,FAIL*,FAIL (Grade D)*
tcn_bp | Population,VitalDB,DBP,8.412629233696721,0.24649968264705946,-1.5104119974314492,10.850072175576706,36.02623070267316,66.51942256022588,85.6049911198142,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,VitalDB,SBP,10.461721146524633,0.46486712259158536,-0.38647568348760364,13.998822750871012,32.19181201329751,58.18570973177285,76.26485723393597,FAIL*,FAIL (Grade D)*
tcn_bp | QGH,VitalDB,DBP,6.212507383368646,0.5296298879921822,-1.1019620907552843,8.584793225151873,51.386675167357346,81.14668245366364,93.17364178696663,FAIL*,PASS (Grade B)*
fewshot_resnet_attention | Population,VitalDB,SBP,12.81927552789112,0.26249162415188243,2.575909126448269,16.237232403658048,25.392777448882008,47.44296188351018,65.21244136800401,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | Population,VitalDB,DBP,8.494480753374466,0.2472509067688855,0.5899413771253197,10.933335485402147,35.1017805911016,65.44924632269229,85.01297873309349,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,VitalDB,SBP,10.640485907205996,0.4398617698185937,-0.46142891671320047,14.320177604095939,31.791065166901955,58.158386083154966,75.76392367594153,FAIL*,FAIL (Grade D)*
fewshot_resnet_attention | QGH,VitalDB,DBP,6.391371648753421,0.5064865566410383,-0.778672620917397,8.831341492560417,50.11157156518967,79.6074502481898,92.78200282344369,FAIL*,PASS (Grade B)*
bp_crnn | Population,VitalDB,SBP,12.744624375393586,0.2581252767353034,0.3763537119992403,16.484594748229416,25.410993214627258,47.984880914431436,66.08679812377612,FAIL*,FAIL (Grade D)*
bp_crnn | Population,VitalDB,DBP,8.45705736847654,0.241626742593399,-0.5314892296307303,10.977208435226798,36.244819891616196,66.29627942984652,85.03574844027506,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,VitalDB,SBP,10.888194158883591,0.41979056961380645,-0.24569964968786343,14.579978379119897,30.484083974680086,56.418780454483354,75.10360216767612,FAIL*,FAIL (Grade D)*
bp_crnn | QGH,VitalDB,DBP,6.353396965439967,0.5143421336537677,-0.5238087747190532,8.779148709299493,49.95673755635502,80.08106015756637,93.31026003005601,FAIL*,FAIL (Grade C)*
resunet_encoder | Population,VitalDB,SBP,12.42617182133741,0.28552536076529933,-0.6649949290016826,16.167858383419706,26.35821303338039,49.61519194863154,67.51673573477845,FAIL*,FAIL (Grade D)*
resunet_encoder | Population,VitalDB,DBP,8.381334763153312,0.2535136034606549,-1.9771554461708787,10.722832059207509,36.126417414272055,66.41012796575436,86.05127738057288,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,VitalDB,SBP,10.39106253021982,0.4669666775319231,0.20080338538179934,13.975215073794946,33.207340953595335,58.841477298601944,76.46978459857007,FAIL*,FAIL (Grade D)*
resunet_encoder | QGH,VitalDB,DBP,6.082404005432972,0.5488125159115208,-0.6433833350396764,8.45245446199996,51.9969033198233,81.9982695022542,93.97513547975774,FAIL*,PASS (Grade B)*
