Setting,Reference,Scope,BP,primary_contrast,gain_mmHg,ci95_low_mmHg,ci95_high_mmHg,participants,improved_participants,bootstrap_replicates
new_person_lora_memory,new_person_lora,Overall,Mean,True,0.45759939218044515,0.39303940771185325,0.5231929638274037,200,186,2000
new_person_lora_memory,new_person_lora,Overall,SBP,False,0.5736334964286053,0.4767389865394142,0.6730667747974463,200,177,2000
new_person_lora_memory,new_person_lora,Overall,DBP,False,0.341565287932285,0.2966826780713337,0.38842077943274517,200,183,2000
new_person_lora_memory,new_person_lora,MIMIC,Mean,False,0.4490545996310651,0.3641781773506805,0.5402811776172584,100,93,2000
new_person_lora_memory,new_person_lora,MIMIC,SBP,False,0.5706351218776451,0.43407322275461324,0.7222255921927575,100,86,2000
new_person_lora_memory,new_person_lora,MIMIC,DBP,False,0.3274740773844851,0.2684389842189164,0.3866594910633076,100,92,2000
new_person_lora_memory,new_person_lora,VitalDB,Mean,False,0.4661441847298253,0.3740537962924642,0.5643708686505315,100,93,2000
new_person_lora_memory,new_person_lora,VitalDB,SBP,False,0.5766318709795655,0.4523494661688873,0.7054857929450025,100,91,2000
new_person_lora_memory,new_person_lora,VitalDB,DBP,False,0.35565649848008507,0.2878726053472182,0.43205648829049925,100,91,2000
shared_memory_only,new_person_lora,Overall,Mean,False,0.34412952266553687,0.25388854672636935,0.4330899514982991,200,145,2000
shared_memory_only,new_person_lora,Overall,SBP,False,0.42029834275409056,0.2935299038425156,0.5486562485864003,200,131,2000
shared_memory_only,new_person_lora,Overall,DBP,False,0.26796070257698307,0.20571882703357977,0.33234696282377274,200,151,2000
shared_memory_only,new_person_lora,MIMIC,Mean,False,0.31340608462344993,0.20016895595317952,0.4315684896287002,100,69,2000
shared_memory_only,new_person_lora,MIMIC,SBP,False,0.40008891043152084,0.228136442191454,0.5915835909224619,100,65,2000
shared_memory_only,new_person_lora,MIMIC,DBP,False,0.2267232588153792,0.14743915153767825,0.31083302915195365,100,74,2000
shared_memory_only,new_person_lora,VitalDB,Mean,False,0.3748529607076236,0.24510061013573384,0.5146647694456619,100,76,2000
shared_memory_only,new_person_lora,VitalDB,SBP,False,0.4405077750766603,0.26428333526750125,0.6221788613440398,100,66,2000
shared_memory_only,new_person_lora,VitalDB,DBP,False,0.30919814633858705,0.21229984918102532,0.41309715387188684,100,77,2000
shared_memory_blend,new_person_lora,Overall,Mean,False,-0.31637893506790954,-0.4273173248289157,-0.1987570084102975,200,63,2000
shared_memory_blend,new_person_lora,Overall,SBP,False,-0.46647871544828445,-0.6336509843388951,-0.29155016699922354,200,61,2000
shared_memory_blend,new_person_lora,Overall,DBP,False,-0.16627915468753474,-0.23790748052686322,-0.09315026976193604,200,66,2000
shared_memory_blend,new_person_lora,MIMIC,Mean,False,-0.34240114928639115,-0.4996227525733475,-0.1801996263263581,100,30,2000
shared_memory_blend,new_person_lora,MIMIC,SBP,False,-0.48314662108812617,-0.7273887768981093,-0.2297713165818243,100,28,2000
shared_memory_blend,new_person_lora,MIMIC,DBP,False,-0.2016556774846563,-0.30052595607186783,-0.10078433642141243,100,35,2000
shared_memory_blend,new_person_lora,VitalDB,Mean,False,-0.290356720849428,-0.44298953702320626,-0.12832004675521175,100,33,2000
shared_memory_blend,new_person_lora,VitalDB,SBP,False,-0.4498108098084427,-0.6767570376710498,-0.21716608720654787,100,33,2000
shared_memory_blend,new_person_lora,VitalDB,DBP,False,-0.1309026318904132,-0.2308002230413049,-0.023901035680418892,100,31,2000
lora_memory_only,new_person_lora,Overall,Mean,False,0.4345721074656533,0.35427421220984534,0.5170696474057358,200,169,2000
lora_memory_only,new_person_lora,Overall,SBP,False,0.5352486496895169,0.4168981243845958,0.6510586859636818,200,155,2000
lora_memory_only,new_person_lora,Overall,DBP,False,0.33389556524178965,0.2765845474358385,0.3927830573415046,200,166,2000
lora_memory_only,new_person_lora,MIMIC,Mean,False,0.4093488095500381,0.30886969145662885,0.5150055153717057,100,81,2000
lora_memory_only,new_person_lora,MIMIC,SBP,False,0.5160387342131849,0.35301784384582896,0.6940384016992429,100,76,2000
lora_memory_only,new_person_lora,MIMIC,DBP,False,0.30265888488689124,0.23254506016015972,0.37542061637923596,100,80,2000
lora_memory_only,new_person_lora,VitalDB,Mean,False,0.45979540538126856,0.33629398860606285,0.5877253325276591,100,88,2000
lora_memory_only,new_person_lora,VitalDB,SBP,False,0.5544585651658489,0.38991843025173845,0.720976512070166,100,79,2000
lora_memory_only,new_person_lora,VitalDB,DBP,False,0.365132245596688,0.2752825104198767,0.46425717738569505,100,86,2000
lora_memory_uniform,new_person_lora,Overall,Mean,False,0.41237855235485066,0.3498690575124881,0.4757591131333367,200,184,2000
lora_memory_uniform,new_person_lora,Overall,SBP,False,0.5130035824852925,0.419372737401179,0.6091942716923197,200,173,2000
lora_memory_uniform,new_person_lora,Overall,DBP,False,0.31175352222440866,0.2679493673487677,0.35726641427231287,200,181,2000
lora_memory_uniform,new_person_lora,MIMIC,Mean,False,0.40394963973701214,0.31910530590694164,0.49140419896106285,100,92,2000
lora_memory_uniform,new_person_lora,MIMIC,SBP,False,0.5089167881600982,0.377711748261585,0.6568510794646087,100,85,2000
lora_memory_uniform,new_person_lora,MIMIC,DBP,False,0.2989824913139259,0.24116068734909438,0.3586112510533185,100,92,2000
lora_memory_uniform,new_person_lora,VitalDB,Mean,False,0.42080746497268917,0.33091575441273463,0.5174744840660607,100,92,2000
lora_memory_uniform,new_person_lora,VitalDB,SBP,False,0.5170903768104868,0.39076638530666863,0.6437167054878079,100,88,2000
lora_memory_uniform,new_person_lora,VitalDB,DBP,False,0.3245245531348915,0.2571650442090576,0.39953288444667573,100,89,2000
lora_memory_fixed_half,new_person_lora,Overall,Mean,False,0.401390125772495,0.3542145915115036,0.4492306468171579,200,195,2000
lora_memory_fixed_half,new_person_lora,Overall,SBP,False,0.4970857387719476,0.42880379299839483,0.5678342982394494,200,186,2000
lora_memory_fixed_half,new_person_lora,Overall,DBP,False,0.30569451277304255,0.27110043930181554,0.34063502270460844,200,190,2000
lora_memory_fixed_half,new_person_lora,MIMIC,Mean,False,0.4008327383844668,0.3396369071236103,0.4651955832005887,100,99,2000
lora_memory_fixed_half,new_person_lora,MIMIC,SBP,False,0.5025924810808245,0.4096021260186795,0.6079084132693657,100,92,2000
lora_memory_fixed_half,new_person_lora,MIMIC,DBP,False,0.2990729956881093,0.25154319083627624,0.3471372849503504,100,94,2000
lora_memory_fixed_half,new_person_lora,VitalDB,Mean,False,0.40194751316052335,0.33266656122533456,0.475665838993605,100,96,2000
lora_memory_fixed_half,new_person_lora,VitalDB,SBP,False,0.49157899646307057,0.4001854651279104,0.588309025041282,100,94,2000
lora_memory_fixed_half,new_person_lora,VitalDB,DBP,False,0.3123160298579759,0.26201013807388024,0.36748930241411504,100,96,2000
