Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
T10-1 Projection-only adaptation,MIMIC,SBP,13.410967728529654,0.4111842809762414,-3.378684385272384,17.217517326789494,25.705565191669024,47.55892595431138,64.5234157557178,FAIL*,FAIL (Grade D)*
T10-1 Projection-only adaptation,MIMIC,DBP,6.965229084101331,0.45933096085558134,-1.7178443425453773,9.538540119629316,47.54548021459401,77.08442579968538,90.76008766622296,FAIL*,FAIL (Grade C)*
T10-2 Last-block adaptation,MIMIC,SBP,13.264109887275493,0.42224814223329443,-3.1209631770359807,17.097758705469314,26.01750635311202,48.09810011697794,65.14595350463206,FAIL*,FAIL (Grade D)*
T10-2 Last-block adaptation,MIMIC,DBP,6.883753601509008,0.4700447193858669,-1.5165817645817112,9.474879310475046,47.97574388554987,77.50527745283907,90.95908461404004,FAIL*,FAIL (Grade C)*
T10-3 Last-two-block adaptation,MIMIC,SBP,13.175055388991952,0.4241946627030774,-0.8856610414165779,17.32835142075527,26.454492893926556,48.4342436099122,65.56949430572922,FAIL*,FAIL (Grade D)*
T10-3 Last-two-block adaptation,MIMIC,DBP,6.899342146173058,0.47269069463235036,-0.5932102774324197,9.553103130273051,48.065830341656245,77.17182310784828,90.80714775523376,FAIL*,FAIL (Grade C)*
T10-4 Full-encoder adaptation,MIMIC,SBP,13.229116664063458,0.4123609243328532,-1.1762543669705856,17.488847049171902,26.894168582684575,48.82417006171595,65.70798542481815,FAIL*,FAIL (Grade D)*
T10-4 Full-encoder adaptation,MIMIC,DBP,6.941993403360314,0.46178186874659144,-1.005147784325372,9.61762054271336,48.32802226614497,76.92173234910518,90.45218022669516,FAIL*,FAIL (Grade C)*
T10-5 Last block + pair direction,MIMIC,SBP,13.259672631094181,0.4225461659548757,-3.0449214545437253,17.106910993221582,26.032296666801123,48.12768074435615,65.16881126215158,FAIL*,FAIL (Grade D)*
T10-5 Last block + pair direction,MIMIC,DBP,6.886820446117163,0.46903119481919375,-1.530941485719236,9.481859709061078,48.05507374988235,77.55502668979334,90.90395708119883,FAIL*,FAIL (Grade C)*
T10-6 Last block + temporal consistency,MIMIC,SBP,13.12027334833331,0.4335275451462378,-2.163464747796937,17.07325065534367,26.291799443346374,48.74349562341172,65.71470829467683,FAIL*,FAIL (Grade D)*
T10-6 Last block + temporal consistency,MIMIC,DBP,6.8112883944875735,0.4846220958362554,-0.6779731898391652,9.438277944376221,48.75828593710083,77.6047759267476,90.98194237155958,FAIL*,FAIL (Grade C)*
T10-7 Last block + adaptive fusion,MIMIC,SBP,13.35416774226275,0.41428593715213946,-3.4577120009227498,17.15461891929654,25.82388770118188,47.830529896602265,64.96040229653235,FAIL*,FAIL (Grade D)*
T10-7 Last block + adaptive fusion,MIMIC,DBP,6.903581266762531,0.46623731839251203,-1.6093419796905108,9.494464864203902,47.99860164306939,77.44208247616743,90.8447958264424,FAIL*,FAIL (Grade C)*
T10-8 Last block + direction + temporal,MIMIC,SBP,13.126083006487423,0.430752985035909,-2.3525909403209626,17.09071189847144,26.19230096943783,48.942492571228804,65.81958506447232,FAIL*,FAIL (Grade D)*
T10-8 Last block + direction + temporal,MIMIC,DBP,6.872834959214182,0.4767053347597303,-0.6265375810533617,9.514390799027877,48.45575679345999,77.2740107297003,90.71033842926869,FAIL*,FAIL (Grade C)*
T10-0 Frozen-encoder reference,VitalDB,SBP,9.936305964770973,0.5167731442443229,-0.4280363924022021,13.300773583409299,34.19554624527529,60.553759278655676,78.32779270458582,FAIL*,FAIL (Grade D)*
T10-0 Frozen-encoder reference,VitalDB,DBP,6.075069824579179,0.5479098633173469,-1.3021702192935112,8.384866308287492,52.27924768887472,81.94817614645476,93.71100687645156,FAIL*,PASS (Grade B)*
T10-1 Projection-only adaptation,VitalDB,SBP,9.927098601982905,0.5152315354536886,-0.603315926760912,13.315208077467814,34.254747483947355,60.62206840020037,78.22305205155061,FAIL*,FAIL (Grade D)*
T10-1 Projection-only adaptation,VitalDB,DBP,6.070639745298776,0.548908189994891,-1.2451212473589932,8.384051075251193,52.3065713374926,82.1348877453436,93.80663964661414,FAIL*,PASS (Grade B)*
T10-2 Last-block adaptation,VitalDB,SBP,9.88023987986994,0.5195656359262028,-0.8763244761355542,13.240182202070436,34.18643836240266,60.92262853499704,78.62379889794617,FAIL*,FAIL (Grade D)*
T10-2 Last-block adaptation,VitalDB,DBP,6.085041372754997,0.5473732388846783,-1.3730017389185862,8.378660565114776,52.174507035839525,81.95273008789107,93.79753176374152,FAIL*,PASS (Grade B)*
T10-3 Last-two-block adaptation,VitalDB,SBP,9.992382994454424,0.5109238808552696,0.7821772156770371,13.365089613163958,33.90864793478756,60.36704767976684,78.09554169133385,FAIL*,FAIL (Grade D)*
T10-3 Last-two-block adaptation,VitalDB,DBP,6.064968517688438,0.5487899483750123,-1.0234357113456047,8.415109817495457,52.38398834190993,82.04836285805365,93.78386993943258,FAIL*,PASS (Grade B)*
T10-4 Full-encoder adaptation,VitalDB,SBP,10.058284032229315,0.5006602970970884,0.07752598759543737,13.527485151985207,34.05437406074958,60.184890022314306,78.07277198415228,FAIL*,FAIL (Grade D)*
T10-4 Full-encoder adaptation,VitalDB,DBP,6.12305566173398,0.5403177738070866,-1.2618753653510097,8.462768607372517,51.76920624800765,81.85254337629219,93.63358987203425,FAIL*,PASS (Grade B)*
T10-5 Last block + pair direction,VitalDB,SBP,9.843062778176053,0.5226295776196529,-0.8099715975008953,13.201948411741188,34.213762011020535,60.90441276925179,78.68755407805456,FAIL*,FAIL (Grade D)*
T10-5 Last block + pair direction,VitalDB,DBP,6.081181060506111,0.5479310409051059,-1.4022956041486752,8.368501189939076,52.1653991529669,82.01193132656314,93.79753176374152,FAIL*,PASS (Grade B)*
T10-6 Last block + temporal consistency,VitalDB,SBP,9.845351261655797,0.526986551334583,-0.00015872313488945146,13.166274133447951,34.21831595245685,60.895304886379165,78.7422013752903,FAIL*,FAIL (Grade D)*
T10-6 Last block + temporal consistency,VitalDB,DBP,6.045556851174605,0.553620149238406,-1.1948500456965074,8.346528175269476,52.57069994079876,82.42178605583132,93.83851723666834,FAIL*,PASS (Grade B)*
T10-7 Last block + adaptive fusion,VitalDB,SBP,9.945368955142241,0.5135023296903336,-1.522229895474845,13.26556465899877,33.90864793478756,60.82244182339815,78.16385081287855,FAIL*,FAIL (Grade D)*
T10-7 Last block + adaptive fusion,VitalDB,DBP,6.106303137615591,0.5434193970644996,-1.5856701848596102,8.378688019211241,52.338448927546786,81.77968031331118,93.72922264219682,FAIL*,PASS (Grade B)*
T10-8 Last block + direction + temporal,VitalDB,SBP,9.876004282782933,0.5207239638443408,-0.38759055972890843,13.247477685669958,34.2365317182021,61.077462543831686,78.28680723165901,FAIL*,FAIL (Grade D)*
T10-8 Last block + direction + temporal,VitalDB,DBP,6.038991670130899,0.5531168350653178,-0.6837390952388709,8.408620793241164,52.48417505350881,82.15765745252516,93.78386993943258,FAIL*,PASS (Grade B)*
