candidate,runner_random,backbone_random,split_mode_random,seed_random,view,n_participants_random,n_events_random,sbp_mae_random,dbp_mae_random,mean_mae_random,sbp_bias_random,dbp_bias_random,worst_30_mean_mae_random,retained_70_mean_mae_random,runner_chronological,backbone_chronological,split_mode_chronological,seed_chronological,n_participants_chronological,n_events_chronological,sbp_mae_chronological,dbp_mae_chronological,mean_mae_chronological,sbp_bias_chronological,dbp_bias_chronological,worst_30_mean_mae_chronological,retained_70_mean_mae_chronological,mean_mae_gain_random,mean_mae_gain_chronological,robust_mean_mae,passes_robust_gate
lora_film_attention,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.350735187530518,2.397969007492065,3.374352216720581,-0.0156985316425561,-0.3451459109783172,5.0600457191467285,2.6495277881622314,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.654604434967041,2.4743106365203857,3.564457416534424,-0.2690698504447937,-0.106171578168869,6.832472801208496,2.159256935119629,-0.0545489788055419,0.1190576553344731,3.4694048166275024,False
lora_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.295210838317871,2.385236978530884,3.340223789215088,0.2008639872074127,-0.0701117366552352,4.996790885925293,2.627923488616944,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.694200038909912,2.514288663864136,3.6042442321777344,0.0156430657953023,-0.1132023483514785,6.927552700042725,2.175268650054932,-0.0204205513000488,0.0792708396911625,3.472234010696411,False
lora_reliability,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.264931678771973,2.3600945472717285,3.312513589859009,-0.0371075570583343,-0.0937029123306274,4.9430975914001465,2.6113851070404053,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.734477519989014,2.5368900299072266,3.63568377494812,0.2040739357471466,-0.1727413833141327,6.964175701141357,2.204479217529297,0.0072896480560302,0.0478312969207768,3.4740986824035645,False
lora_attention,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.281495094299316,2.374895572662353,3.328195333480835,0.1571891903877258,-0.0719437971711158,4.985275745391846,2.615674018859864,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.726309299468994,2.537606716156006,3.631958246231079,0.0733565017580986,-0.3502275347709656,6.977289199829102,2.1935126781463623,-0.0083920955657958,0.0515568256378178,3.480076789855957,False
lora,combination_residual,resnet_small,random_disjoint,20260902,MIMIC,1011,40440,4.271295070648193,2.3683109283447266,3.319803237915039,0.1577451527118683,-0.0845250263810157,4.9683990478515625,2.6109299659729004,combination_residual,resnet_small,chronological_blocked,20260902,1011,40440,4.781098365783691,2.5859310626983643,3.683515071868897,-0.0028313091024756,-0.1184330433607101,7.033749103546143,2.2429616451263428,0.0,0.0,3.501659154891968,True
lora_film_reliability,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.866801023483277,2.1543619632720947,3.0105817317962646,0.137885570526123,-0.0071038384921848,4.446942329406738,2.393997430801392,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.885631561279297,2.6920738220214844,3.7888529300689697,0.1055155619978904,0.0289853047579526,6.983471393585205,2.4175045490264893,0.0346956253051757,0.08389401435852,3.399717330932617,False
lora_film,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.885555267333984,2.1659936904907227,3.0257747173309326,-0.2123284190893173,-0.2063815891742706,4.448273181915283,2.4151408672332764,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.889127254486084,2.6922314167022705,3.790679454803467,-0.2230035066604614,-0.1183205991983413,6.980143070220947,2.421543598175049,0.0195026397705078,0.082067489624023,3.4082270860672,False
lora_film_multi_event,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.888608694076538,2.164815187454224,3.02671217918396,-0.1598707735538482,-0.0630540624260902,4.4498701095581055,2.4157955646514893,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.881042957305908,2.699075222015381,3.790059328079224,-0.0530272275209426,-0.1277069747447967,7.026993274688721,2.400545835494995,0.0185651779174804,0.0826876163482657,3.408385753631592,False
lora_film_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.892685651779175,2.1703388690948486,3.031512260437012,-0.1788241416215896,-0.1186625510454177,4.453968524932861,2.4208970069885254,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.885451316833496,2.6983654499053955,3.791908502578736,-0.0757766664028167,-0.141687124967575,6.999109745025635,2.415158033370972,0.0137650966644282,0.080838441848754,3.411710381507874,False
lora_film_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.904254913330078,2.173715114593506,3.038984775543213,-0.0381472259759902,-0.1213871985673904,4.481887340545654,2.41959285736084,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.884871482849121,2.702758550643921,3.7938151359558105,0.2976700663566589,0.1103157922625541,6.95871639251709,2.435223340988159,0.0062925815582275,0.0789318084716792,3.416399955749512,False
lora_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.8849589824676514,2.1816272735595703,3.033292770385742,0.0112570915371179,-0.1508091688156128,4.481428623199463,2.411654472351074,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.905494689941406,2.705548048019409,3.805521488189697,0.1613814979791641,-0.0471389889717102,7.024228572845459,2.4238321781158447,0.0119845867156982,0.0672254562377929,3.41940712928772,False
lora_reliability,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.898628234863281,2.1769356727600098,3.037781953811645,-0.1211401298642158,-0.0270430799573659,4.458685398101807,2.427832841873169,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.894044399261475,2.717251300811768,3.8056480884552,0.1580950170755386,-0.1577048748731613,7.007351398468018,2.431258201599121,0.0074954032897953,0.0670988559722896,3.421715021133423,False
lora_attention,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.910512208938599,2.183892011642456,3.047202110290528,0.0716956183314323,-0.0064476714469492,4.498263835906982,2.424307107925415,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.885475158691406,2.7164151668548584,3.800945520401001,0.0565878264605999,-0.3249823153018951,7.01012134552002,2.423347949981689,-0.0019247531890873,0.0718014240264888,3.424073815345764,False
lora_multi_event,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.917407751083374,2.18934178352356,3.053374767303467,-0.1317663341760635,-0.2523910999298095,4.495042324066162,2.4345128536224365,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.889994144439697,2.700641393661499,3.795318126678467,0.0554841868579387,-0.0924270004034042,7.059999942779541,2.393893003463745,-0.0080974102020263,0.077428817749023,3.424346446990967,False
