split_mode,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
chronological_blocked,VitalDB,lora_reliability,DBP,2.892583283644456,0.8531308233772728,-0.143087650170693,4.502143596767905,83.61538461538461,96.63942307692308,99.08653846153848,PASS*,PASS (Grade A)*
chronological_blocked,VitalDB,lora_reliability,SBP,5.049162404445502,0.8322799299398881,0.1133981867019946,7.279459776982964,64.02163461538461,87.14903846153847,94.88942307692308,PASS*,PASS (Grade B)*
random_disjoint,MIMIC,lora,DBP,2.3683108583048478,0.905102709492794,-0.0845250255629995,4.0950351765273725,89.5944609297725,97.58160237388724,99.013353115727,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora,SBP,4.271295359580383,0.9214269497513607,0.1577451404077245,6.377695413862608,70.95450049455985,91.17952522255192,96.6790306627102,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_all_six,DBP,2.380240493995146,0.9038416710696494,-0.190336470740721,4.11863595115762,89.67359050445104,97.53214638971316,99.01829871414442,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_all_six,SBP,4.307043462502379,0.9204196200538334,0.2000581863961752,6.4172925118084585,70.63550939663699,90.92235410484668,96.67408506429278,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_attention,DBP,2.374895792073477,0.9049213769148414,-0.0719437984991026,4.099187562455179,89.50049455984174,97.42087042532144,99.013353115727,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_attention,SBP,4.2814948365902925,0.9213465490685668,0.1571891833719466,6.38097331608743,70.77151335311572,91.053412462908,96.63946587537092,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_attention_calibration_relative,DBP,2.385237131250836,0.9048244924799052,-0.0701117351901755,4.101307924221055,89.46092977250247,97.51730959446093,99.03313550939664,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_attention_calibration_relative,SBP,4.295210534481573,0.9197542064823548,0.2008639765776229,6.444066746989612,71.02868447082096,90.95450049455984,96.46884272997032,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_calibration_relative,DBP,2.368049217803306,0.905746444077127,-0.2051294232924072,4.076834034057319,89.55489614243324,97.54203758654796,99.02077151335313,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_calibration_relative,SBP,4.274836504188183,0.9202729516159242,0.0713915429648258,6.425927406656152,71.36251236399605,91.06083086053413,96.60979228486649,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film,DBP,2.3412551485112583,0.905810428528897,-0.2656221710020192,4.071951186001261,89.90356083086053,97.57171117705242,98.9515331355094,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film,SBP,4.240393206957657,0.9220168703221514,-0.1270918835754092,6.354381049360516,71.5727002967359,91.17210682492582,96.65430267062315,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_attention,DBP,2.3979690160289127,0.9027948351766666,-0.3451458926252748,4.131020171880599,89.46587537091987,97.52967359050444,98.98615232443126,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_attention,SBP,4.3507353621349845,0.91850920854387,-0.0156985298934015,6.496998606389789,70.45994065281899,90.76162215628092,96.53313550939664,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_attention_calibration_relative,DBP,2.3605952296837147,0.9063536802381108,-0.1618351365645019,4.065601197942773,89.58456973293768,97.5618199802176,99.04549950544016,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_attention_calibration_relative,SBP,4.273087703485989,0.921478546253049,0.1331197790528853,6.3761614834861335,71.22898120672602,91.11770524233432,96.67655786350149,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_calibration_relative,DBP,2.355641847548216,0.906129148693294,-0.1845591363991757,4.069512912751212,89.73293768545994,97.566765578635,99.0108803165183,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_calibration_relative,SBP,4.258494947454224,0.9225777330694094,-0.1012091141426244,6.331946593064836,71.14490603363008,91.11523244312562,96.72354104846688,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_multi_event,DBP,2.348749530209278,0.905870124466853,-0.1219696029357457,4.0774885677344965,89.91592482690406,97.53461918892184,98.98862512363996,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_multi_event,SBP,4.261452376123234,0.9217193330840155,-0.0903035158219606,6.367124704701466,71.15479723046488,91.0410484668645,96.5702274975272,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_multi_event_reliability,DBP,2.3811231181600325,0.9034328762815328,-0.1251411799743078,4.129890945770399,89.44362017804154,97.46290801186944,98.96884272997032,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_multi_event_reliability,SBP,4.2791847358235735,0.9209916586997988,0.0167850985843043,6.397271031668334,71.07814045499505,90.90504451038576,96.5727002967359,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_reliability,DBP,2.3353115616637097,0.9073706763671008,-0.0605896192299741,4.046213424305397,89.92334322453017,97.56923837784372,98.98862512363996,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_film_reliability,SBP,4.228384583828829,0.9225576818931046,0.2606526863445278,6.328209538063792,71.67903066271019,91.30811078140457,96.6938674579624,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_multi_event,DBP,2.368112697280597,0.9052275533016986,-0.2796039595448298,4.083651170272789,89.71068249258161,97.5519287833828,98.99851632047478,PASS*,PASS (Grade A)*
random_disjoint,MIMIC,lora_multi_event,SBP,4.281379972603154,0.9213487269801884,-0.0297967243854888,6.382751249466328,70.82591493570722,91.03115727002968,96.60731948565775,PASS*,PASS (Grade A)*
