candidate,view,split_mode,seed,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,reference_mean_mae,reference_candidate,gain_mmhg
pair_single,Overall,chronological_blocked,20260907,2051,82040,5.100523948669434,2.8319849967956543,3.966254472732544,0.1522956639528274,0.0333483517169952,3.712383844467676,D0_frozen_lora,-0.2538706282648677
pair_single,MIMIC,chronological_blocked,20260907,1011,40440,4.862180233001709,2.651754856109619,3.756967306137085,0.0971284955739975,-0.0050955656915903,3.4773016271911907,D0_frozen_lora,-0.2796656789458942
pair_single,VitalDB,chronological_blocked,20260907,1040,41600,5.332221031188965,3.007189989089966,4.169705867767334,0.2059244811534881,0.0707202851772308,3.940910884531645,D0_frozen_lora,-0.2287949832356894
pair_uniform,Overall,chronological_blocked,20260907,2051,82040,4.833646297454834,2.702134132385254,3.767890453338623,0.2693827450275421,0.0884899199008941,3.712383844467676,D0_frozen_lora,-0.0555066088709468
pair_uniform,MIMIC,chronological_blocked,20260907,1011,40440,4.647802352905273,2.554840564727783,3.6013214588165283,0.3259949386119842,0.0933635011315345,3.4773016271911907,D0_frozen_lora,-0.1240198316253375
pair_uniform,VitalDB,chronological_blocked,20260907,1040,41600,5.014308929443359,2.845320224761963,3.929814577102661,0.214349165558815,0.0837522521615028,3.940910884531645,D0_frozen_lora,0.0110963074289833
pair_retrieved,Overall,chronological_blocked,20260907,2051,82040,4.749363899230957,2.643669366836548,3.696516990661621,0.1806968748569488,0.0615809336304664,3.712383844467676,D0_frozen_lora,0.0158668538060551
pair_retrieved,MIMIC,chronological_blocked,20260907,1011,40440,4.472189426422119,2.4536190032958984,3.462904214859009,0.1211500167846679,0.0344849675893783,3.4773016271911907,D0_frozen_lora,0.0143974123321819
pair_retrieved,VitalDB,chronological_blocked,20260907,1040,41600,5.018810749053955,2.828420400619507,3.9236154556274414,0.2385832816362381,0.0879213511943817,3.940910884531645,D0_frozen_lora,0.0172954289042031
pair_distance_blend,Overall,chronological_blocked,20260907,2051,82040,4.7000250816345215,2.6142520904541016,3.657138586044312,0.1896321177482605,0.0590944476425647,3.712383844467676,D0_frozen_lora,0.0552452584233646
pair_distance_blend,MIMIC,chronological_blocked,20260907,1011,40440,4.428385257720947,2.4207065105438232,3.424546003341675,0.1290634870529174,0.0231079682707786,3.4773016271911907,D0_frozen_lora,0.0527556238495159
pair_distance_blend,VitalDB,chronological_blocked,20260907,1040,41600,4.964089870452881,2.802400588989258,3.883245229721069,0.248511791229248,0.0940774753689765,3.940910884531645,D0_frozen_lora,0.0576656548105751
