Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
D0_frozen_lora,Overall,SBP_train_median_deviation_>20,1744,11006,6.207376316399166,3.0938103778381705,4.650593347118669,3.478133336898281e-10,1.2759393541728061e-09,-5.803131308823595e-10,random_disjoint
D0_frozen_lora,MIMIC,SBP_train_median_deviation_>20,805,4976,7.718533675003574,3.7110853617409534,5.714809518372263,1.2537260118961058e-09,2.764273254740601e-09,-2.5682034276997e-10,random_disjoint
D0_frozen_lora,VitalDB,SBP_train_median_deviation_>20,939,6030,4.911868676701032,2.564623623800109,3.738246150250571,-4.2882053463699776e-10,0.0,-8.576410692739954e-10,random_disjoint
D0_frozen_lora,Overall,DBP_train_median_deviation_0-10,2051,69707,3.502137143857821,1.848840873621888,2.675489008739855,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.821975621639787,1.94327665784614,2.882626139742964,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,VitalDB,DBP_train_median_deviation_0-10,1040,34478,3.191217239014007,1.7570383949192745,2.4741278169666403,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,Overall,DBP_train_median_deviation_10-20,1762,10460,5.156983667231913,3.264557039045926,4.210770353138919,1.0824905416484396e-09,2.1649810832968797e-09,0.0,random_disjoint
D0_frozen_lora,MIMIC,DBP_train_median_deviation_10-20,791,4282,6.291392055450666,4.059622908426012,5.17550748193834,2.41131381528703e-09,4.8226267423956415e-09,0.0,random_disjoint
D0_frozen_lora,VitalDB,DBP_train_median_deviation_10-20,971,6178,4.232867256231877,2.6168772216621483,3.424872238947013,0.0,0.0,0.0,random_disjoint
D0_frozen_lora,Overall,DBP_train_median_deviation_>20,721,1873,8.633247441981649,8.132554768967559,8.382901105474604,-6.783615447147895e-09,5.290843319016858e-10,-1.4096315226197476e-08,random_disjoint
D0_frozen_lora,MIMIC,DBP_train_median_deviation_>20,319,929,10.517862338853,11.812418350083774,11.165140344468387,-3.8437342197994434e-10,1.1958292134295332e-09,-1.964576057389422e-09,random_disjoint
D0_frozen_lora,VitalDB,DBP_train_median_deviation_>20,402,944,7.137744576056373,5.212464016788275,6.175104296422324,-1.1861621018738331e-08,0.0,-2.372324114929825e-08,random_disjoint
feature_knn,Overall,SBP_train_median_deviation_0-10,2051,50195,3.160485265191159,1.8164437248100611,2.48846449500061,-0.1014923213235823,-0.1153400953226482,-0.0876445473245164,random_disjoint
feature_knn,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.44662055286952,1.9809660163835408,2.7137932846265302,-0.0714142822229684,-0.0695335877862701,-0.0732949766596666,random_disjoint
feature_knn,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.8823287499576757,1.6565090740593045,2.26941891200849,-0.1307316458723511,-0.1598693060142606,-0.1015939857304419,random_disjoint
feature_knn,Overall,SBP_train_median_deviation_10-20,2029,20839,3.8908447645588,2.119168979672584,3.005006872115692,-0.1974973698607693,-0.2668506614006567,-0.1281440783208824,random_disjoint
feature_knn,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.497280643125586,2.378710032900397,3.4379953380129917,-0.1783966633361964,-0.2353894543245891,-0.1214038723478041,random_disjoint
feature_knn,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.311867928663149,1.8713797853096137,2.591623856986381,-0.2157332081708398,-0.2968873244183667,-0.1345790919233127,random_disjoint
feature_knn,Overall,SBP_train_median_deviation_>20,1744,11006,5.60452177527722,2.8589645469437057,4.231743161110464,-0.4188501856603919,-0.6028545398460068,-0.2348458314747779,random_disjoint
feature_knn,MIMIC,SBP_train_median_deviation_>20,805,4976,6.985786865412082,3.43821450890485,5.212000687158466,-0.5028088299600713,-0.7327468068272189,-0.2728708530929236,random_disjoint
feature_knn,VitalDB,SBP_train_median_deviation_>20,939,6030,4.420370127185034,2.3623764538886247,3.391373290536829,-0.3468728601425619,-0.491498549515998,-0.2022471707691258,random_disjoint
feature_knn,Overall,DBP_train_median_deviation_0-10,2051,69707,3.316595073235467,1.7746447343281924,2.5456199037818297,-0.1298691049580251,-0.185542070622354,-0.0741961392936958,random_disjoint
feature_knn,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.683307539430957,1.898529091811148,2.790918315621053,-0.0917078241219107,-0.1386680822088295,-0.0447475660349918,random_disjoint
feature_knn,VitalDB,DBP_train_median_deviation_0-10,1040,34478,2.960108243116581,1.654214844505819,2.3071615438112003,-0.16696627315544,-0.2311089958974252,-0.1028235504134555,random_disjoint
feature_knn,Overall,DBP_train_median_deviation_10-20,1762,10460,4.754905504668416,3.005505259750983,3.8802053822097,-0.330564969846729,-0.4020781603985153,-0.2590517792949431,random_disjoint
feature_knn,MIMIC,DBP_train_median_deviation_10-20,791,4282,5.8493643100463135,3.7546090336723936,4.801986671859353,-0.3735208076676723,-0.4420277405817261,-0.3050138747536182,random_disjoint
feature_knn,VitalDB,DBP_train_median_deviation_10-20,971,6178,3.863332986590233,2.3952672729622737,3.129300129776253,-0.2955721091707595,-0.3695342696416439,-0.2216099486998746,random_disjoint
feature_knn,Overall,DBP_train_median_deviation_>20,721,1873,7.741806641914916,7.023662224297256,7.382734433106086,-1.0001666791521329,-0.8914407995376479,-1.108892558766618,random_disjoint
