Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
feature_knn,MIMIC,DBP_train_median_deviation_>20,319,929,9.296350042644187,9.843287749951442,9.569818896297814,-1.5953214485549465,-1.2215122950129818,-1.969130602096909,random_disjoint
feature_knn,VitalDB,DBP_train_median_deviation_>20,402,944,6.508226182132234,4.786198187770674,5.647212184951455,-0.5278921233324905,-0.6295183939241387,-0.4262658527408423,random_disjoint
nearest_record_time_bp,Overall,SBP_train_median_deviation_0-10,2051,50195,2.7330558784109176,1.498402878155407,2.115729378283162,-0.47422743804103,-0.5427694821028894,-0.4056853939791707,random_disjoint
nearest_record_time_bp,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.41247941345675,1.766476107958593,2.5894777607076715,-0.1957298061418271,-0.1036747271990403,-0.2877848850846147,random_disjoint
nearest_record_time_bp,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.0725778073230936,1.237804767260195,1.6551912872916443,-0.7449592705891968,-0.9696202486488424,-0.5202982925295514,random_disjoint
nearest_record_time_bp,Overall,SBP_train_median_deviation_10-20,2029,20839,3.187039549683436,1.7562623977433889,2.4716509737134125,-0.7308532682630489,-0.9706558762760203,-0.4910506602500779,random_disjoint
nearest_record_time_bp,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.00200576227676,2.0754705654309125,3.0387381638538367,-0.577653837495351,-0.7306643351734143,-0.4246433398172886,random_disjoint
nearest_record_time_bp,VitalDB,SBP_train_median_deviation_10-20,1038,11132,2.408974504712353,1.4515077790744717,1.930241141893412,-0.8771159232638088,-1.1997807483691627,-0.5544510981584547,random_disjoint
nearest_record_time_bp,Overall,SBP_train_median_deviation_>20,1744,11006,4.233916071164801,2.3059181802945234,3.269917125729662,-1.3806762210411931,-1.973460243958426,-0.7878921981239602,random_disjoint
nearest_record_time_bp,MIMIC,SBP_train_median_deviation_>20,805,4976,5.292508124741864,2.704533045116548,3.9985205849292056,-1.7162889321893315,-2.426025547497437,-1.0065523168812258,random_disjoint
nearest_record_time_bp,VitalDB,SBP_train_median_deviation_>20,939,6030,3.32639040223026,1.9641876518794756,2.645289027054868,-1.0929571236245237,-1.5854782744707725,-0.6004359727782751,random_disjoint
nearest_record_time_bp,Overall,DBP_train_median_deviation_0-10,2051,69707,2.8317224453229213,1.5143660551390306,2.173044250230976,-0.5024447585088789,-0.6704146985348998,-0.3344748184828576,random_disjoint
