Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS,split_mode
Overall,E2_bp_state_metric,DBP,2.696716672277985,0.868992724375059,0.044519530756191,4.501918773064103,85.44246708922478,96.37006338371526,98.80546075085324,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E2_bp_state_metric,SBP,4.547395534307856,0.9035912509623332,0.1418112267136691,7.034947263984844,70.38328387734916,89.13946587537092,95.37339268051434,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,E2_bp_state_metric,DBP,2.47346294763416,0.885395967990792,-0.0238001068786862,4.375957837692646,87.71760633036597,96.57764589515332,98.74876360039563,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,E2_bp_state_metric,SBP,5.202468801003236,0.8181967585397609,0.3558988894866063,7.571481535204563,62.908653846153854,86.04567307692308,94.25721153846152,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,E2_bp_state_metric,DBP,2.9137450526769344,0.8453969128077264,0.1109341015724035,4.620161663879108,83.23076923076923,96.16826923076924,98.86057692307692,PASS*,PASS (Grade A)*,chronological_blocked
Overall,lora_continued_control,SBP,4.777301552538637,0.8804092361721448,0.2060147503072142,7.105433762220466,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*,chronological_blocked
Overall,lora_continued_control,DBP,2.64746613746617,0.8762196704472955,0.0648715308443736,4.375717509513464,85.86055582642614,96.76133593369087,98.89566065333985,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,lora_continued_control,SBP,4.511091243430721,0.9076828389639852,0.1629088781943543,6.883518285447561,70.42284866468843,89.36449060336301,95.50197823936696,PASS*,PASS (Grade A)*,chronological_blocked
MIMIC,lora_continued_control,DBP,2.443512012460937,0.8925116507288202,0.0169001497689387,4.237959939266516,87.97725024727993,96.92383778437193,98.80563798219583,PASS*,PASS (Grade A)*,chronological_blocked
VitalDB,lora_continued_control,SBP,5.036088689565658,0.8305056596178584,0.2479186317553887,7.314549825371473,64.07932692307692,86.9375,94.8533653846154,PASS*,PASS (Grade B)*,chronological_blocked
VitalDB,lora_continued_control,DBP,2.845733080139527,0.8529923861847304,0.1115052484090511,4.505159566445046,83.80288461538463,96.6033653846154,98.98317307692308,PASS*,PASS (Grade A)*,chronological_blocked
