Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
time_stratum_random_uniform,Overall,2051,82040,7.445516080498288,3.9971964736731103,5.721356277085699,9.897476098701812,5.446416745242995,-0.033721093373552,-0.0369925575102904,random_disjoint
time_stratum_random_uniform,MIMIC,1011,40440,5.9465403665303,3.1092403053647804,4.527890335947541,8.029932846088796,4.39899623644098,-0.0862874460267502,-0.1041999961926604,random_disjoint
time_stratum_random_uniform,VitalDB,1040,41600,8.9026934332114,4.860392325749764,6.881542879480581,11.71294362600158,6.464630336011108,0.0173794667537395,0.0283408275934366,random_disjoint
gap60__fixed_blend,Overall,2051,82040,3.8067352771759033,2.1260299682617188,2.966382503509521,5.297986507415772,3.114509105682373,-0.111382320523262,-0.1154258623719215,random_disjoint
gap60__fixed_blend,MIMIC,1011,40440,3.947962999343872,2.182818651199341,3.065390586853028,5.568739891052246,3.308561086654663,-0.100649818778038,-0.1438298672437667,random_disjoint
gap60__fixed_blend,VitalDB,1040,41600,3.669446229934693,2.070824146270752,2.8701350688934326,5.0347819328308105,2.925868034362793,-0.1218155473470687,-0.0878138989210128,random_disjoint
gap60__trained_blend,Overall,2051,82040,3.8067352771759033,2.1260299682617188,2.966382503509521,5.297986507415772,3.114509105682373,-0.111382320523262,-0.1154258623719215,random_disjoint
gap60__trained_blend,MIMIC,1011,40440,3.947962999343872,2.182818651199341,3.065390586853028,5.568739891052246,3.308561086654663,-0.100649818778038,-0.1438298672437667,random_disjoint
gap60__trained_blend,VitalDB,1040,41600,3.669446229934693,2.070824146270752,2.8701350688934326,5.0347819328308105,2.925868034362793,-0.1218155473470687,-0.0878138989210128,random_disjoint
gap60__D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
gap60__D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
gap60__D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
gap60__feature_knn,Overall,2051,82040,4.050745951620067,2.2671709757845826,3.158958463702325,5.6988956330092,3.359356167138138,-0.1451205353988145,-0.1141284985298218,random_disjoint
gap60__feature_knn,MIMIC,1011,40440,4.079870413855767,2.261106043041368,3.170488228448567,5.78982754538933,3.4536915717327017,-0.14043859342395,-0.1301787637198538,random_disjoint
gap60__feature_knn,VitalDB,1040,41600,4.022433613812093,2.27306679021092,3.1477502020115065,5.610499322031977,3.2676512690178456,-0.1496719232224569,-0.0985257888114349,random_disjoint
gap60__nearest_record_time_bp,Overall,2051,82040,4.794226438507459,2.609966499185864,3.702096468846662,6.910285115126058,3.897840555470239,-0.0292801495937531,-0.0242994767290856,random_disjoint
gap60__nearest_record_time_bp,MIMIC,1011,40440,4.502644064541975,2.314143009567827,3.408393537054901,6.38126806981374,3.4271941208787227,-0.0341222075868902,-0.0550676501233547,random_disjoint
gap60__nearest_record_time_bp,VitalDB,1040,41600,5.077678150121982,2.8975410645741686,3.987609607348075,7.424550723597937,4.355363195251031,-0.0245731105254246,0.005610737983997,random_disjoint
gap60__time_matched_feature_uniform,Overall,2051,82040,4.089521948945982,2.289255172563494,3.189388560754737,5.739967303392601,3.3825966870285327,-0.1565516572298508,-0.127885300365673,random_disjoint
gap60__time_matched_feature_uniform,MIMIC,1011,40440,4.112856418183248,2.280497056275282,3.1966767372292653,5.808954101423637,3.462473411000534,-0.1490325724925296,-0.1505629981189052,random_disjoint
gap60__time_matched_feature_uniform,VitalDB,1040,41600,4.066838152408599,2.297769072147516,3.182303612278058,5.672904175691277,3.304947294782673,-0.1638610751812274,-0.1058399614920983,random_disjoint
gap60__time_stratum_random_uniform,Overall,2051,82040,7.767943200851173,4.165872460920482,5.966907830885827,10.292124484292405,5.65143519601842,-0.0146640590433374,-0.0217289502303348,random_disjoint
gap60__time_stratum_random_uniform,MIMIC,1011,40440,6.155852025906481,3.209349365569245,4.682600695737864,8.292078006359597,4.524302626645206,-0.0778126929327477,-0.0963125795096483,random_disjoint
gap60__time_stratum_random_uniform,VitalDB,1040,41600,9.3350818334176,5.095723277651347,7.215402555534474,12.236400435436702,6.747138107207186,0.0467236994780027,0.0507749432325363,random_disjoint
gap300__fixed_blend,Overall,2051,82040,4.238367080688477,2.36622953414917,3.3022983074188232,5.756247997283936,3.371277093887329,-0.1109753176569938,-0.1096235215663909,random_disjoint
gap300__fixed_blend,MIMIC,1011,40440,4.288284778594971,2.3738808631896973,3.331082582473755,5.944087028503418,3.532524824142456,-0.1081913784146308,-0.1447715759277343,random_disjoint
gap300__fixed_blend,VitalDB,1040,41600,4.189840793609619,2.3587911128997803,3.2743160724639893,5.573646068572998,3.2145254611968994,-0.1136816293001174,-0.0754555761814117,random_disjoint
gap300__trained_blend,Overall,2051,82040,4.238367080688477,2.36622953414917,3.3022983074188232,5.756247997283936,3.371277093887329,-0.1109753176569938,-0.1096235215663909,random_disjoint
gap300__trained_blend,MIMIC,1011,40440,4.288284778594971,2.3738808631896973,3.331082582473755,5.944087028503418,3.532524824142456,-0.1081913784146308,-0.1447715759277343,random_disjoint
gap300__trained_blend,VitalDB,1040,41600,4.189840793609619,2.3587911128997803,3.2743160724639893,5.573646068572998,3.2145254611968994,-0.1136816293001174,-0.0754555761814117,random_disjoint
gap300__D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
gap300__D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
gap300__D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
gap300__feature_knn,Overall,2051,82040,4.863705408735995,2.7204116781103176,3.7920585434231566,6.6488768055692296,3.894875860800915,-0.1778676434119507,-0.1164101260685484,random_disjoint
gap300__feature_knn,MIMIC,1011,40440,4.566571066768906,2.537728658948187,3.552149862858546,6.3601676488951,3.793559995372895,-0.1535761043440284,-0.1305838839655041,random_disjoint
gap300__feature_knn,VitalDB,1040,41600,5.152554273859771,2.898000651545812,4.0252774627027925,6.929535418451484,3.993366572289116,-0.2014818222558637,-0.102631597959104,random_disjoint
gap300__nearest_record_time_bp,Overall,2051,82040,8.391711163532438,4.48741411608292,6.439562639807678,11.398195006931909,6.273914519066787,-0.0668434923303121,-0.0225775631621429,random_disjoint
gap300__nearest_record_time_bp,MIMIC,1011,40440,6.206155804899161,3.169727948888709,4.687941876893935,8.60709950986789,4.653227869139474,0.0463489619254122,-0.0035133392709416,random_disjoint
gap300__nearest_record_time_bp,VitalDB,1040,41600,10.51632315158844,5.7683571113072905,8.142340131447865,14.111461879558568,7.849408945101896,-0.176879618534675,-0.0411101885025317,random_disjoint
gap300__time_matched_feature_uniform,Overall,2051,82040,4.870410349983985,2.7224932604914813,3.7964518052377336,6.643580964002206,3.885900556565381,-0.1947859797345202,-0.1331101204696833,random_disjoint
gap300__time_matched_feature_uniform,MIMIC,1011,40440,4.566052745428566,2.532130649063873,3.549091697246219,6.333053890696782,3.763916672199188,-0.164470216758645,-0.152283176140073,random_disjoint
gap300__time_matched_feature_uniform,VitalDB,1040,41600,5.166281059796995,2.9075476837158205,4.036914371756407,6.945449109302001,4.004482967232903,-0.2242563993197221,-0.1144716980824103,random_disjoint
gap300__time_stratum_random_uniform,Overall,2051,82040,8.531467628409256,4.57259520230091,6.552031415355083,11.165734348532656,6.115655988006567,0.0306808894579146,0.0118034901821223,random_disjoint
