candidate,view,split_mode,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,reference_mean_mae,gain_vs_reference_mmhg,fixed_blend_mean_mae,gain_vs_fixed_blend_mmhg,v1_trained_blend_mean_mae,gain_vs_v1_trained_blend_mmhg,reference_candidate
fixed_blend,MIMIC,chronological_blocked,1011,40440,4.543566703796387,2.4558522701263428,3.4997096061706543,3.4773016271911907,-0.0224079789794635,3.4997096061706543,0.0,3.424546003341675,-0.0751636028289794,D0_frozen_lora
fixed_blend,VitalDB,chronological_blocked,1040,41600,5.241949081420898,2.9287517070770264,4.085350513458252,3.940910884531645,-0.1444396289266074,4.085350513458252,0.0,3.883245229721069,-0.2021052837371826,D0_frozen_lora
trained_blend,Overall,chronological_blocked,2051,82040,4.7000250816345215,2.6142520904541016,3.657138586044312,3.712383844467676,0.0552452584233646,3.796670198440552,0.1395316123962402,3.657138586044312,0.0,D0_frozen_lora
trained_blend,MIMIC,chronological_blocked,1011,40440,4.428385257720947,2.4207065105438232,3.424546003341675,3.4773016271911907,0.0527556238495159,3.4997096061706543,0.0751636028289794,3.424546003341675,0.0,D0_frozen_lora
trained_blend,VitalDB,chronological_blocked,1040,41600,4.964089870452881,2.802400588989258,3.883245229721069,3.940910884531645,0.0576656548105751,4.085350513458252,0.2021052837371826,3.883245229721069,0.0,D0_frozen_lora
E3_zero_reliability,Overall,chronological_blocked,2051,82040,4.846353993029714,2.6646808263226287,3.755517409676171,3.712383844467676,-0.0431335652084952,3.796670198440552,0.0411527887643803,3.657138586044312,-0.0983788236318599,D0_frozen_lora
E3_zero_reliability,MIMIC,chronological_blocked,1011,40440,4.504902748422,2.428511547844091,3.466707148133045,3.4773016271911907,0.0105944790581458,3.4997096061706543,0.0330024580376093,3.424546003341675,-0.0421611447913701,D0_frozen_lora
E3_zero_reliability,VitalDB,chronological_blocked,1040,41600,5.178284001008944,2.89426461530513,4.0362743081570365,3.940910884531645,-0.0953634236253919,4.085350513458252,0.0490762053012154,3.883245229721069,-0.1530290784359671,D0_frozen_lora
E3_trained_reliability,Overall,chronological_blocked,2051,82040,4.687383563577389,2.6021177207248747,3.644750642151132,3.712383844467676,0.0676332023165446,3.796670198440552,0.1519195562894202,3.657138586044312,0.0123879438931799,D0_frozen_lora
E3_trained_reliability,MIMIC,chronological_blocked,1011,40440,4.41213484999856,2.40201844397075,3.4070766469846543,3.4773016271911907,0.0702249802065364,3.4997096061706543,0.092632959186,3.424546003341675,0.0174693563570205,D0_frozen_lora
E3_trained_reliability,VitalDB,chronological_blocked,1040,41600,4.954957072642962,2.7966373061079706,3.8757971893754655,3.940910884531645,0.0651136951561781,4.085350513458252,0.2095533240827856,3.883245229721069,0.0074480403456029,D0_frozen_lora
E1_matched_relation,Overall,chronological_blocked,2051,82040,4.673410415649414,2.593441963195801,3.633426189422608,3.712383844467676,0.0789576550450688,3.796670198440552,0.1632440090179443,3.657138586044312,0.0237123966217041,D0_frozen_lora
E1_matched_relation,MIMIC,chronological_blocked,1011,40440,4.399313449859619,2.399910926818848,3.3996124267578125,3.4773016271911907,0.0776892004333782,3.4997096061706543,0.1000971794128418,3.424546003341675,0.0249335765838623,D0_frozen_lora
E1_matched_relation,VitalDB,chronological_blocked,1040,41600,4.939864635467529,2.78157639503479,3.860720157623291,3.940910884531645,0.0801907269083535,4.085350513458252,0.2246303558349609,3.883245229721069,0.0225250720977783,D0_frozen_lora
E2_bp_state_metric,Overall,chronological_blocked,2051,82040,4.879563331604004,2.696716785430908,3.788140296936035,3.712383844467676,-0.0757564524683589,3.796670198440552,0.0085299015045166,3.657138586044312,-0.1310017108917236,D0_frozen_lora
E2_bp_state_metric,MIMIC,chronological_blocked,1011,40440,4.5473952293396,2.4734628200531006,3.51042914390564,3.4773016271911907,-0.0331275167144489,3.4997096061706543,-0.0107195377349853,3.424546003341675,-0.0858831405639648,D0_frozen_lora
