Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.137723416612012,0.242296830190887,-1.142556178874003,19.39398296289158,21.844246979196942,41.54901797948761,58.17900593779844,FAIL*,FAIL (Grade D)*
inception_time | QGH,MIMIC,SBP,13.107897713165695,0.43363837921656656,-0.24483689896524177,17.206354517618053,26.50424213088083,49.15090153684805,66.3049762682694,FAIL*,FAIL (Grade D)*
inception_time | QGH,MIMIC,DBP,7.16085432284433,0.4197728000073849,-0.9326060287249112,9.99688791147445,47.12193941349683,76.4901241041776,89.65753700939857,FAIL*,FAIL (Grade C)*
patch_transformer | Population,MIMIC,SBP,16.394380601838765,0.17327701970913767,-3.9135691579583667,20.418879447143915,19.442539631317818,37.769082866093875,53.99405698304493,FAIL*,FAIL (Grade D)*
patch_transformer | Population,MIMIC,DBP,9.254802774427086,0.15299385626271067,0.41262341323186924,12.123816343244428,34.19789439716026,62.99329057588103,82.01497855404514,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,MIMIC,SBP,13.222102235698404,0.4274045728054424,-1.6351961425943577,17.225097546036995,25.786239629973245,48.10347841286489,65.37856480174257,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,MIMIC,DBP,7.247816776901349,0.4159176524239572,-1.5382667946685071,9.955451914999045,46.0973740470332,75.35261452408804,89.79602812848749,FAIL*,FAIL (Grade C)*
conformer | Population,MIMIC,SBP,16.573634595253576,0.15356829977609687,-2.9512584993772055,20.8288598525006,19.399513264222232,37.62655802508975,53.612197975071595,FAIL*,FAIL (Grade D)*
conformer | Population,MIMIC,DBP,9.386032549815,0.1253687308845184,-0.5492970609016132,12.314827923218099,34.38210103128824,62.421846637892784,80.9393193766555,FAIL*,FAIL (Grade D)*
conformer | QGH,MIMIC,SBP,13.553576671116627,0.40411698532138085,-1.5404456238180977,17.583533508738437,25.073615424952607,47.2402619230097,64.24912266548344,FAIL*,FAIL (Grade D)*
conformer | QGH,MIMIC,DBP,7.326383665973886,0.4133035989623405,-1.217753260050801,10.022401755586062,44.72994231777661,75.2490823282643,89.64946956556815,FAIL*,FAIL (Grade C)*
resnet_small | Population,VitalDB,SBP,12.559073043771024,0.2821814357315926,0.7790635294447805,16.200629704459846,25.761646705223374,48.51313812104377,66.73345780773259,FAIL*,FAIL (Grade D)*
resnet_small | Population,VitalDB,DBP,8.254099085921792,0.2773724274529935,0.2542039344492805,10.724923005011183,37.037205701534674,67.24805319003598,86.01029190764606,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,SBP,10.291648775806841,0.48437631705046424,1.5023575317176823,13.664167186396886,32.26012113484221,59.23767020356118,76.9661642151282,FAIL*,FAIL (Grade D)*
resnet_small | QGH,VitalDB,DBP,5.957172102815785,0.5628399274819464,-0.17788482671121134,8.342196385031729,53.19914385900998,82.73145407350061,94.33945079466278,FAIL*,PASS (Grade B)*
resnet_deep | Population,VitalDB,SBP,12.744322884415645,0.26561702251679953,1.5393589187686387,16.333039858674145,25.356345917391504,47.85281661277836,65.68605127738057,FAIL*,FAIL (Grade D)*
resnet_deep | Population,VitalDB,DBP,8.318957686763122,0.2637319264849146,-0.5758337280764533,10.81339160176372,36.45885513912291,67.015802176784,85.9146591374835,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,VitalDB,SBP,10.540190135116468,0.4575907496967556,0.25232548471678146,14.09678669600242,31.740971811102508,57.97167448426613,76.08269957648345,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,VitalDB,DBP,6.171481870645503,0.5327458245907601,-0.30984609227760823,8.620950342347415,51.400336991666286,81.03283391775582,93.70189899357895,FAIL*,PASS (Grade B)*
inception_time | Population,VitalDB,SBP,12.566417673201284,0.27613117741281423,-0.04468494876218597,16.28750080848318,25.939250421239585,48.759050958604675,66.82453663645886,FAIL*,FAIL (Grade D)*
inception_time | Population,VitalDB,DBP,8.439890033094938,0.2454948773266109,0.08833946242030935,10.961648583350259,35.812195455166446,66.84275240220411,85.37274010656223,FAIL*,FAIL (Grade D)*
inception_time | QGH,VitalDB,SBP,10.420252286529374,0.4835385312756746,1.8846550894531209,13.627970958056249,31.572475977958923,57.375108156109114,76.04626804499294,FAIL*,FAIL (Grade D)*
inception_time | QGH,VitalDB,DBP,5.996346258938568,0.5625077837650456,-0.23698326051669294,8.343897165605776,52.224600391638965,82.45366364588551,94.31668108748121,FAIL*,PASS (Grade B)*
patch_transformer | Population,VitalDB,SBP,12.636466631783804,0.2673334496379751,0.18470003009256097,16.385199725105515,25.752538822350747,48.51313812104377,66.72890386629628,FAIL*,FAIL (Grade D)*
patch_transformer | Population,VitalDB,DBP,8.525888505482781,0.23697528885711328,-0.12002968124824889,11.023066737089003,35.288492189990436,65.86365499339678,84.94466961154879,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,VitalDB,SBP,10.612973874202792,0.4476373953403575,0.20496437426039843,14.226340926513506,31.709094221048318,57.89425747984881,75.84134068035885,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,VitalDB,DBP,6.246994630583492,0.522049105036682,-0.8299773656328182,8.685131138302252,50.86297190218134,81.21954551664466,93.25105879138394,FAIL*,PASS (Grade B)*
conformer | Population,VitalDB,SBP,12.697094489151912,0.26585760995832786,0.08104717640062634,16.40253593145554,25.479302336171955,48.30821075640968,66.51031467735325,FAIL*,FAIL (Grade D)*
conformer | Population,VitalDB,DBP,8.59061319855707,0.2138634869468934,-1.9295110572232106,11.021801343008361,36.244819891616196,65.35361355252971,83.86538549114259,FAIL*,FAIL (Grade D)*
conformer | QGH,VitalDB,SBP,10.502080423681535,0.45456922921512344,-0.28228160800364505,14.135441685402657,32.52424973814837,58.3086661505533,76.4151373013343,FAIL*,FAIL (Grade D)*
conformer | QGH,VitalDB,DBP,6.352565816163121,0.5065524562280339,-1.45718755204865,8.744424710765449,51.04057561819755,79.77594608133339,92.70003187759005,FAIL*,PASS (Grade B)*
