Seed,Setting,BP,MAE,R²,ME,STD,≤5 mmHg (%),≤10 mmHg (%),≤15 mmHg (%),AAMI,BHS,Participant-macro MAE,N participants,N query events,Method,K,Aggregation,Standards scope
20260813,B1 Last-cuff persistence (K=5),SBP,17.139782,-0.076769,-0.690510,22.833743,22.469198,41.104052,56.250241,FAIL*,FAIL (Grade D)*,16.418218,697,103564,last_cuff,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B1 Last-cuff persistence (K=5),DBP,9.967192,-0.054651,0.013503,13.520537,36.669113,61.533931,77.162914,FAIL*,FAIL (Grade D)*,9.047688,697,103564,last_cuff,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL*,FAIL (Grade D)*,19.369449,697,103564,support_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL*,FAIL (Grade D)*,10.676897,697,103564,support_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=2),SBP,17.815870,-0.160980,0.628144,23.712336,21.036267,39.583253,54.543084,FAIL*,FAIL (Grade D)*,17.636259,697,103564,support_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=2),DBP,10.119607,-0.080558,0.583312,13.673158,36.094589,60.828087,76.935035,FAIL*,FAIL (Grade D)*,9.503751,697,103564,support_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=3),SBP,17.165935,-0.070764,0.407200,22.776752,21.786528,40.778649,55.640956,FAIL*,FAIL (Grade D)*,16.603542,697,103564,support_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=3),DBP,9.772298,-0.009294,0.497526,13.217246,37.243637,62.276467,78.226990,FAIL*,FAIL (Grade D)*,8.906004,697,103564,support_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=5),SBP,16.487172,0.011048,-0.030519,21.892804,22.783013,42.216407,57.202310,FAIL*,FAIL (Grade D)*,15.502776,697,103564,support_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B2 Support-BP mean (K=5),DBP,9.412464,0.048866,0.268849,12.837054,38.690085,64.315785,79.714959,FAIL*,FAIL (Grade D)*,8.393494,697,103564,support_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=1),SBP,16.524211,0.030594,0.691626,21.664361,21.402225,40.516975,56.261828,FAIL*,FAIL (Grade D)*,15.885840,697,103564,residual_offset,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=1),DBP,9.251887,0.060227,0.353769,12.758045,38.479588,65.039975,81.178788,FAIL*,FAIL (Grade D)*,8.723544,697,103564,residual_offset,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=2),SBP,15.548327,0.142489,1.267923,20.346625,22.749218,42.999498,59.093894,FAIL*,FAIL (Grade D)*,14.477346,697,103564,residual_offset,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=2),DBP,8.723808,0.177884,0.387930,11.930995,40.645398,67.333243,82.611718,FAIL*,FAIL (Grade D)*,7.903242,697,103564,residual_offset,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=3),SBP,14.901358,0.213868,1.187908,19.483014,23.364296,44.454637,60.846433,FAIL*,FAIL (Grade D)*,13.730919,697,103564,residual_offset,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=3),DBP,8.323030,0.252454,0.357197,11.377446,42.021359,69.153374,84.344946,FAIL*,FAIL (Grade D)*,7.454325,697,103564,residual_offset,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=5),SBP,14.287683,0.272048,0.823976,18.764944,24.376231,46.053648,62.698428,FAIL*,FAIL (Grade D)*,12.868661,697,103564,residual_offset,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B4 Residual-offset correction (K=5),DBP,7.950801,0.310931,0.269609,10.925439,43.724653,71.195589,85.987409,FAIL*,FAIL (Grade C)*,6.993263,697,103564,residual_offset,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=1),SBP,14.681134,0.264645,-0.396341,18.874137,22.839983,43.133714,60.212043,FAIL*,FAIL (Grade D)*,14.130012,697,103564,head,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=1),DBP,8.299944,0.280277,-0.100709,11.168757,40.537252,68.453324,84.823877,FAIL*,FAIL (Grade D)*,7.819457,697,103564,head,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=2),SBP,14.216876,0.299344,0.445763,18.422122,23.748600,45.135375,62.274536,FAIL*,FAIL (Grade D)*,13.393729,697,103564,head,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=2),DBP,8.115687,0.299163,0.085119,11.021363,42.070604,69.671894,85.318257,FAIL*,FAIL (Grade C)*,7.460045,697,103564,head,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=3),SBP,13.911383,0.326487,0.512215,18.059783,24.067243,45.959021,63.505658,FAIL*,FAIL (Grade D)*,12.942953,697,103564,head,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=3),DBP,7.868781,0.333895,0.145860,10.744127,43.599127,71.243869,86.340813,FAIL*,FAIL (Grade C)*,7.137853,697,103564,head,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=5),SBP,13.487823,0.357915,0.297635,17.637980,25.354370,47.639141,65.075702,FAIL*,FAIL (Grade D)*,12.277165,697,103564,head,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B6 Head-only adaptation (K=5),DBP,7.657257,0.366591,0.171505,10.476677,44.265382,72.435402,87.619250,FAIL*,FAIL (Grade C)*,6.830880,697,103564,head,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=1),SBP,18.820819,-0.315642,0.432823,25.247553,20.258970,38.117493,52.517284,FAIL*,FAIL (Grade D)*,19.353781,697,103564,full,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=1),DBP,10.698103,-0.251323,0.503092,14.718746,35.026650,59.259975,75.274227,FAIL*,FAIL (Grade D)*,10.710581,697,103564,full,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=2),SBP,17.851472,-0.158493,0.678044,23.685535,20.622031,39.300336,54.229269,FAIL*,FAIL (Grade D)*,17.415512,697,103564,full,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=2),DBP,10.107851,-0.077854,0.456899,13.660822,36.061759,60.826156,77.139740,FAIL*,FAIL (Grade D)*,9.346780,697,103564,full,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=3),SBP,17.077279,-0.057299,0.393485,22.633284,21.568306,40.619327,55.719169,FAIL*,FAIL (Grade D)*,16.263417,697,103564,full,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=3),DBP,9.700008,-0.004394,0.263733,13.191827,37.696497,62.836507,78.575567,FAIL*,FAIL (Grade D)*,8.732624,697,103564,full,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=5),SBP,16.617539,-0.010682,0.315438,22.129792,22.787841,42.215442,57.196516,FAIL*,FAIL (Grade D)*,15.369933,697,103564,full,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B7 Full-network adaptation (K=5),DBP,9.448437,0.035944,0.268616,12.924000,38.834923,64.259781,79.465838,FAIL*,FAIL (Grade D)*,8.354720,697,103564,full,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=1),SBP,13.935911,0.341552,-0.999455,17.835864,23.902128,45.201035,62.092040,FAIL*,FAIL (Grade D)*,13.312206,697,103564,lora,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=1),DBP,7.827116,0.351663,-0.505884,10.588754,42.193233,71.472713,87.427098,FAIL*,FAIL (Grade C)*,7.431807,697,103564,lora,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=2),SBP,13.645722,0.362969,-0.502337,17.563743,24.303812,46.386775,63.588699,FAIL*,FAIL (Grade D)*,12.861629,697,103564,lora,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=2),DBP,7.731446,0.362421,-0.434078,10.503551,42.848866,72.085860,87.710015,FAIL*,FAIL (Grade C)*,7.225097,697,103564,lora,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=3),SBP,13.449572,0.376984,-0.530428,17.368459,24.915994,47.279943,64.325441,FAIL*,FAIL (Grade D)*,12.593966,697,103564,lora,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=3),DBP,7.617982,0.378300,-0.308878,10.376189,43.586574,72.739562,88.088525,FAIL*,FAIL (Grade C)*,7.055018,697,103564,lora,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=5),SBP,13.139345,0.399492,-0.601708,17.049175,25.926963,48.312155,65.406898,FAIL*,FAIL (Grade D)*,12.169574,697,103564,lora,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,B8 LoRA adaptation (K=5),DBP,7.467819,0.395793,-0.246231,10.230730,44.700861,73.666525,88.608976,FAIL*,FAIL (Grade C)*,6.847649,697,103564,lora,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=1),SBP,13.605844,0.333313,1.526273,17.910353,26.001313,48.383608,65.176123,FAIL*,FAIL (Grade D)*,12.864812,697,103564,m0,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=1),DBP,7.883539,0.325905,0.949898,10.767549,43.588506,71.283458,86.335985,FAIL*,FAIL (Grade C)*,7.130831,697,103564,m0,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=2),SBP,13.130776,0.369503,1.920240,17.374789,27.604187,50.278089,66.376347,FAIL*,FAIL (Grade D)*,12.155421,697,103564,m0,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=2),DBP,7.707030,0.343941,0.963140,10.620192,45.283110,72.910471,86.794639,FAIL*,FAIL (Grade C)*,6.713854,697,103564,m0,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=3),SBP,12.780409,0.401445,1.956339,16.919304,28.164227,51.311266,67.611332,FAIL*,FAIL (Grade D)*,11.770079,697,103564,m0,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=3),DBP,7.530963,0.368338,1.020656,10.413723,46.348152,74.044069,87.233981,FAIL*,FAIL (Grade C)*,6.468184,697,103564,m0,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=5),SBP,12.406578,0.430908,1.710925,16.519186,29.123054,52.580047,69.030744,FAIL*,FAIL (Grade D)*,11.218887,697,103564,m0,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M0 Variable-K residual anchor (K=5),DBP,7.275180,0.401144,0.926642,10.146054,47.943301,75.329265,87.935962,FAIL*,FAIL (Grade C)*,6.156757,697,103564,m0,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=1),SBP,13.600996,0.334953,1.494465,17.890829,26.151945,48.280290,64.760921,FAIL*,FAIL (Grade D)*,12.871093,697,103564,m1,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=1),DBP,8.010342,0.306810,0.657490,10.941660,42.945425,70.720521,85.901472,FAIL*,FAIL (Grade C)*,7.273664,697,103564,m1,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=2),SBP,12.981431,0.385729,1.679466,17.172246,27.764474,50.391063,66.777065,FAIL*,FAIL (Grade D)*,12.070202,697,103564,m1,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=2),DBP,7.726438,0.340926,0.607862,10.670953,44.790661,72.786876,86.783052,FAIL*,FAIL (Grade C)*,6.806402,697,103564,m1,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=3),SBP,12.629079,0.417422,1.632504,16.723686,28.263682,51.392376,68.126955,FAIL*,FAIL (Grade D)*,11.705056,697,103564,m1,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=3),DBP,7.523246,0.368361,0.629908,10.444455,46.186899,74.080762,87.435788,FAIL*,FAIL (Grade C)*,6.547821,697,103564,m1,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=5),SBP,12.256849,0.443459,1.406960,16.363014,29.491908,52.935383,69.519331,FAIL*,FAIL (Grade D)*,11.150246,697,103564,m1,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M1 M0 + FiLM (K=5),DBP,7.277146,0.398167,0.545605,10.198992,47.992546,75.404581,88.181221,FAIL*,FAIL (Grade C)*,6.219953,697,103564,m1,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=1),SBP,13.687851,0.330622,1.075936,17.979343,25.709706,47.848673,64.506006,FAIL*,FAIL (Grade D)*,13.000918,697,103564,m2,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=1),DBP,8.014943,0.307273,0.705461,10.935004,43.099919,70.507126,85.796223,FAIL*,FAIL (Grade C)*,7.333050,697,103564,m2,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=2),SBP,13.447972,0.336208,1.459749,17.876700,26.806612,49.567417,65.837550,FAIL*,FAIL (Grade D)*,12.397957,697,103564,m2,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=2),DBP,7.854113,0.320591,0.804556,10.822022,44.522228,72.032753,86.418060,FAIL*,FAIL (Grade C)*,6.852663,697,103564,m2,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=3),SBP,13.005567,0.378962,1.459219,17.287486,27.361825,50.752192,67.333243,FAIL*,FAIL (Grade D)*,11.941254,697,103564,m2,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=3),DBP,7.652771,0.349209,0.831998,10.588239,45.773628,73.093932,87.030242,FAIL*,FAIL (Grade C)*,6.586575,697,103564,m2,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=5),SBP,12.589348,0.408564,1.354862,16.876136,29.184852,52.474798,68.671546,FAIL*,FAIL (Grade D)*,11.298556,697,103564,m2,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260813,M2 M1 + reliability weighting (K=5),DBP,7.457097,0.373921,0.748044,10.390383,47.076204,74.253602,87.528485,FAIL*,FAIL (Grade C)*,6.300372,697,103564,m2,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=1),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=1),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=2),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=2),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=3),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=3),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=5),SBP,17.977358,-0.003915,1.377400,22.014777,15.984319,31.902978,47.190143,FAIL*,FAIL (Grade D)*,17.380697,697,103564,population_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B0 Population BP mean (K=5),DBP,10.198625,-0.000694,-0.346821,13.165570,29.949596,57.974779,77.576185,FAIL*,FAIL (Grade D)*,9.858857,697,103564,population_mean,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=1),SBP,15.444475,0.175134,-2.537549,19.832610,21.438917,41.601329,58.321424,FAIL*,FAIL (Grade D)*,14.771144,697,103564,population,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=1),DBP,9.370036,0.103331,-1.460397,12.380991,34.486887,62.941756,81.581438,FAIL*,FAIL (Grade D)*,8.841284,697,103564,population,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=2),SBP,15.444475,0.175134,-2.537549,19.832610,21.438917,41.601329,58.321424,FAIL*,FAIL (Grade D)*,14.771144,697,103564,population,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=2),DBP,9.370036,0.103331,-1.460397,12.380991,34.486887,62.941756,81.581438,FAIL*,FAIL (Grade D)*,8.841284,697,103564,population,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=3),SBP,15.444475,0.175134,-2.537549,19.832610,21.438917,41.601329,58.321424,FAIL*,FAIL (Grade D)*,14.771144,697,103564,population,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=3),DBP,9.370036,0.103331,-1.460397,12.380991,34.486887,62.941756,81.581438,FAIL*,FAIL (Grade D)*,8.841284,697,103564,population,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=5),SBP,15.444475,0.175134,-2.537549,19.832610,21.438917,41.601329,58.321424,FAIL*,FAIL (Grade D)*,14.771144,697,103564,population,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B3 Population PPG network (K=5),DBP,9.370036,0.103331,-1.460397,12.380991,34.486887,62.941756,81.581438,FAIL*,FAIL (Grade D)*,8.841284,697,103564,population,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL*,FAIL (Grade D)*,19.369449,697,103564,last_cuff,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL*,FAIL (Grade D)*,10.676897,697,103564,last_cuff,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=2),SBP,18.104333,-0.188872,1.058608,23.980546,20.415395,38.686223,53.609362,FAIL*,FAIL (Grade D)*,18.034405,697,103564,last_cuff,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=2),DBP,10.376849,-0.118702,0.572861,13.913263,34.736974,59.513924,76.131667,FAIL*,FAIL (Grade D)*,9.616320,697,103564,last_cuff,2,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=3),SBP,17.364332,-0.084229,-0.034686,22.923150,21.124136,39.674984,54.831795,FAIL*,FAIL (Grade D)*,16.855551,697,103564,last_cuff,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=3),DBP,9.958043,-0.053908,0.325954,13.511844,36.671044,61.846781,77.681434,FAIL*,FAIL (Grade D)*,9.130924,697,103564,last_cuff,3,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=5),SBP,17.139782,-0.076769,-0.690510,22.833743,22.469198,41.104052,56.250241,FAIL*,FAIL (Grade D)*,16.418218,697,103564,last_cuff,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B1 Last-cuff persistence (K=5),DBP,9.967192,-0.054651,0.013503,13.520537,36.669113,61.533931,77.162914,FAIL*,FAIL (Grade D)*,9.047688,697,103564,last_cuff,5,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B2 Support-BP mean (K=1),SBP,18.831464,-0.317668,0.197679,25.269931,20.264764,38.195705,52.491213,FAIL*,FAIL (Grade D)*,19.369449,697,103564,support_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B2 Support-BP mean (K=1),DBP,10.694021,-0.252904,0.593763,14.724675,34.930092,59.223282,75.389131,FAIL*,FAIL (Grade D)*,10.676897,697,103564,support_mean,1,event-pooled diagnostic,numerical screen only; formal compliance not established
20260814,B2 Support-BP mean (K=2),SBP,17.815870,-0.160980,0.628144,23.712336,21.036267,39.583253,54.543084,FAIL*,FAIL (Grade D)*,17.636259,697,103564,support_mean,2,event-pooled diagnostic,numerical screen only; formal compliance not established
