Setting,BP,MAE,R²,ME,STD,≤5 mmHg (%),≤10 mmHg (%),≤15 mmHg (%),AAMI,BHS,Method,K,MAE seed SD,R² seed SD,ME seed SD,STD seed SD,≤5 mmHg (%) seed SD,≤10 mmHg (%) seed SD,≤15 mmHg (%) seed SD,Participant-macro MAE,Participant-macro MAE seed SD,N seeds,N participants,N query events per seed,Aggregation,Standards scope
B8 LoRA adaptation (K=1),DBP,7.948848,0.336453,-0.489891,10.704689,41.299100,70.928894,86.977328,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",lora,1,0.150157,0.023335,0.447600,0.171120,0.817942,0.842526,0.697516,7.527496,0.122030,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=2),SBP,13.754470,0.346127,-0.464938,17.791793,24.391681,46.420957,63.403692,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",lora,2,0.152173,0.016318,0.350258,0.216811,0.326448,0.506960,0.374876,12.962651,0.092827,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=2),DBP,7.864916,0.345051,-0.376977,10.641376,41.972886,71.555367,87.169866,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",lora,2,0.134310,0.021474,0.391394,0.159041,0.810006,0.676852,0.577165,7.317635,0.121299,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=3),SBP,13.566274,0.360856,-0.404084,17.590998,24.892241,47.107103,64.109150,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",lora,3,0.171341,0.017060,0.375591,0.228998,0.402509,0.652068,0.474501,12.735615,0.119607,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=3),DBP,7.732378,0.363123,-0.270409,10.497098,42.805801,72.400641,87.684137,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",lora,3,0.113894,0.018548,0.376658,0.139740,0.688629,0.585817,0.453667,7.152251,0.132749,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=5),SBP,13.281074,0.381157,-0.442084,17.309167,25.706616,48.217720,65.214167,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",lora,5,0.159789,0.017310,0.304664,0.238248,0.233218,0.473480,0.407773,12.292809,0.122166,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
B8 LoRA adaptation (K=5),DBP,7.574850,0.380539,-0.221283,10.354164,44.023599,73.401375,88.082345,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",lora,5,0.123946,0.019277,0.347426,0.150978,0.765098,0.645338,0.526810,6.923747,0.134940,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=1),SBP,13.686222,0.325891,1.079416,18.034006,25.973504,48.031748,64.652582,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m0,1,0.058916,0.006769,0.623227,0.085165,0.173853,0.276665,0.319503,12.920295,0.110541,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=1),DBP,7.971411,0.315013,0.796047,10.862635,43.024217,70.962690,86.069870,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m0,1,0.081361,0.009238,0.347389,0.063442,0.556343,0.464284,0.302305,7.242411,0.096283,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=2),SBP,13.169581,0.368104,1.606278,17.418216,27.279750,49.851300,66.375188,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m0,2,0.050103,0.005347,0.583032,0.056109,0.321396,0.271819,0.131756,12.239814,0.136283,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=2),DBP,7.770462,0.338097,0.878133,10.672671,44.690047,72.425746,86.661195,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m0,2,0.085748,0.007588,0.250448,0.047998,0.709367,0.715454,0.212016,6.811674,0.094699,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
