candidate,runner_random,backbone_random,split_mode_random,seed_random,view,n_participants_random,n_events_random,sbp_mae_random,dbp_mae_random,mean_mae_random,sbp_bias_random,dbp_bias_random,worst_30_mean_mae_random,retained_70_mean_mae_random,runner_chronological,backbone_chronological,split_mode_chronological,seed_chronological,n_participants_chronological,n_events_chronological,sbp_mae_chronological,dbp_mae_chronological,mean_mae_chronological,sbp_bias_chronological,dbp_bias_chronological,worst_30_mean_mae_chronological,retained_70_mean_mae_chronological,mean_mae_gain_vs_lora_random,mean_mae_gain_vs_lora_chronological,robust_mean_mae,passes_robust_gate
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.113367080688477,2.847791910171509,3.980579376220703,-0.1342339217662811,-0.2374008297920227,5.7145280838012695,3.236250162124634,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,5.471696853637695,2.990561485290528,4.231128692626953,0.0597326755523681,-0.1112847104668617,7.491513729095459,2.8315491676330566,-0.941143035888672,-0.4366614818573002,4.105854034423828,False
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.159131050109863,2.8767576217651367,4.017944812774658,0.1861059814691543,-0.0387761294841766,5.812130451202393,3.247757196426392,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,5.574009418487549,3.053951501846313,4.313980102539063,0.4450150430202484,0.0296441670507192,7.583323955535889,2.9105546474456787,-0.978508472442627,-0.5195128917694105,4.16596245765686,False
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.235729217529297,2.910088062286377,4.072908401489258,-0.2299209237098693,-0.2104789763689041,5.827120780944824,3.319880723953247,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,5.58433198928833,3.0381100177764893,4.311221122741699,0.2637385427951813,-0.061802364885807,7.599102973937988,2.8998379707336426,-1.0334720611572266,-0.5167539119720463,4.192064762115479,False
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,5.960195541381836,3.3071863651275635,4.633691310882568,-0.1565922945737838,-0.3755939900875091,6.461143493652344,3.8492236137390137,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,6.442440509796143,3.564472198486328,5.003455638885498,0.5225123763084412,0.0289530456066131,8.766261100769043,3.3882036209106445,-1.594254970550537,-1.2089884281158452,4.818573474884033,False
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,6.693455219268799,3.623133420944214,5.158294677734375,-0.0565888583660125,-0.3660261929035187,7.422899723052978,4.186171054840088,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,6.528049468994141,3.5682525634765625,5.048150539398193,0.3705602288246155,-0.2242920249700546,8.81792163848877,3.4299075603485107,-2.118858337402344,-1.2536833286285405,5.103222608566284,False
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,Overall,2051,82040,7.802262783050537,4.233964443206787,6.018113136291504,-0.168810561299324,-0.2712924480438232,8.483001708984375,4.960014820098877,personal_profile_residual,resnet_small,chronological_blocked,20260904,2051,82040,7.939924240112305,4.28564453125,6.112784862518311,0.1014937981963157,-0.0261972397565841,10.83257293701172,4.086729049682617,-2.9786767959594727,-2.3183176517486586,6.065448999404907,False
subject_lora_rank4,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,3.537169933319092,1.99506413936615,2.7661170959472656,0.0935437604784965,0.0198763404041528,3.93093514442444,2.26690936088562,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,5.119649887084961,2.9003310203552246,4.009990692138672,0.0004829993704333,0.0383492186665535,7.125245094299316,2.674881219863892,0.0,0.0,3.3880538940429688,False
personal_profile_code64_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.642999172210693,2.607897996902466,3.625448942184448,-0.0025686740409582,-0.0348716601729393,5.050843715667725,3.0145649909973145,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,5.602887630462647,3.1377317905426025,4.370309829711914,0.2160782068967819,-0.1564225852489471,7.481240272521973,3.037053346633911,-0.8593318462371822,-0.3603191375732422,3.997879385948181,False
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.73374605178833,2.6634089946746826,3.698577404022217,-0.377994954586029,-0.1865089684724807,5.099471569061279,3.098194122314453,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,5.569459915161133,3.140666246414185,4.355062961578369,-0.1272507607936859,-0.1838289052248001,7.406849384307861,3.047154664993286,-0.9324603080749512,-0.3450722694396972,4.026820182800293,False
personal_profile_code32_reliability,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.801055431365967,2.698509693145752,3.7497825622558594,0.1442189216613769,0.0773503929376602,5.280222415924072,3.093880176544189,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,5.643049716949463,3.168673753738404,4.405861854553223,0.5465798377990723,0.0809621438384056,7.410030841827393,3.11836051940918,-0.9836654663085938,-0.3958711624145508,4.077822208404541,False
personal_profile_code32_no_support,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,4.890818595886231,2.743706703186035,3.817262649536133,-0.358705461025238,-0.0312521196901798,5.274979114532471,3.1925265789031982,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,5.673244953155518,3.178762912750244,4.426003932952881,0.235090896487236,-0.1217031255364418,7.466713905334473,3.122842311859131,-1.0511455535888672,-0.416013240814209,4.121633291244507,False
personal_profile_support_only,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,5.743697166442871,3.241403341293335,4.492549896240234,-0.2718566060066223,-0.2592812180519104,6.080972194671631,3.811798095703125,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,6.610755920410156,3.813016414642334,5.211885929107666,0.5829309225082397,0.0692615807056427,8.682513236999512,3.724474668502808,-1.7264328002929688,-1.201895236968994,4.85221791267395,False
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,6.27696704864502,3.4447505474090576,4.860858917236328,-0.4020932018756866,-0.2883696258068084,6.769276142120361,4.042965412139893,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,6.515522480010986,3.712200403213501,5.113862037658691,0.3893984854221344,-0.2914856672286987,8.557819366455078,3.6378798484802246,-2.0947418212890625,-1.1038713455200195,4.98736047744751,False
residual_reference,personal_profile_residual,resnet_small,random_disjoint,20260904,VitalDB,1040,41600,7.793145179748535,4.2775726318359375,6.035358905792236,-0.0984376743435859,-0.0655244663357734,8.276076316833496,5.075051784515381,personal_profile_residual,resnet_small,chronological_blocked,20260904,1040,41600,8.727105140686035,4.828932285308838,6.778018951416016,-0.1051179319620132,-0.1603825837373733,11.41901397705078,4.789021015167236,-3.2692418098449707,-2.768028259277344,6.406688928604126,False
