candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
personal_profile_code32_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,5.502988815307617,2.9359383583068848,4.219463348388672,0.3405369222164154,-0.023145854473114,7.750268936157227,2.7012667655944824
personal_profile_support_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,6.269296646118164,3.308798313140869,4.7890472412109375,0.4603607654571533,-0.0125117320567369,8.79223346710205,3.067734241485596
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,6.5409345626831055,3.420175552368164,4.980554580688477,0.35118168592453,-0.1551709920167923,9.066568374633787,3.2236273288726807
residual_reference,personal_profile_residual,resnet_small,chronological_blocked,20260904,MIMIC,1011,40440,7.130162239074707,3.726774215698242,5.428468227386475,0.3140320479869842,0.111837163567543,9.989343643188477,3.4673562049865723
subject_lora_rank4,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,4.878872871398926,2.71006178855896,3.794467210769653,0.0704422742128372,0.0209950301796197,6.973379135131836,2.429861068725586
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,5.471696853637695,2.990561485290528,4.231128692626953,0.0597326755523681,-0.1112847104668617,7.491513729095459,2.8315491676330566
personal_profile_code64_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,5.498246669769287,3.00870943069458,4.253478050231934,0.326254278421402,-0.0944500192999839,7.575892925262451,2.827270984649658
personal_profile_code32_no_support,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,5.58433198928833,3.0381100177764893,4.311221122741699,0.2637385427951813,-0.061802364885807,7.599102973937988,2.8998379707336426
personal_profile_code32_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,5.574009418487549,3.053951501846313,4.313980102539063,0.4450150430202484,0.0296441670507192,7.583323955535889,2.9105546474456787
personal_profile_support_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,6.442440509796143,3.564472198486328,5.003455638885498,0.5225123763084412,0.0289530456066131,8.766261100769043,3.3882036209106445
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,6.528049468994141,3.5682525634765625,5.048150539398193,0.3705602288246155,-0.2242920249700546,8.81792163848877,3.4299075603485107
residual_reference,personal_profile_residual,resnet_small,chronological_blocked,20260904,Overall,2051,82040,7.939924240112305,4.28564453125,6.112784862518311,0.1014937981963157,-0.0261972397565841,10.83257293701172,4.086729049682617
subject_lora_rank4,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,5.119649887084961,2.9003310203552246,4.009990692138672,0.0004829993704333,0.0383492186665535,7.125245094299316,2.674881219863892
personal_profile_code32_no_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,5.569459915161133,3.140666246414185,4.355062961578369,-0.1272507607936859,-0.1838289052248001,7.406849384307861,3.047154664993286
personal_profile_code64_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,5.602887630462647,3.1377317905426025,4.370309829711914,0.2160782068967819,-0.1564225852489471,7.481240272521973,3.037053346633911
personal_profile_code32_reliability,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,5.643049716949463,3.1686737537384038,4.405861854553223,0.5465798377990723,0.0809621438384056,7.410030841827393,3.11836051940918
personal_profile_code32_no_support,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,5.673244953155518,3.178762912750244,4.426003932952881,0.235090896487236,-0.1217031255364418,7.466713905334473,3.122842311859131
personal_profile_code32_stable_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,6.515522480010986,3.712200403213501,5.113862037658691,0.3893984854221344,-0.2914856672286987,8.557819366455078,3.6378798484802246
personal_profile_support_only,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,6.610755920410156,3.813016414642334,5.211885929107666,0.5829309225082397,0.0692615807056427,8.682513236999512,3.724474668502808
residual_reference,personal_profile_residual,resnet_small,chronological_blocked,20260904,VitalDB,1040,41600,8.727105140686035,4.828932285308838,6.778018951416016,-0.1051179319620132,-0.1603825837373733,11.41901397705078,4.789021015167236
