Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
R8-5 R8-4 + generic PPG change features,MIMIC,SBP,11.99006998746217,0.518499653577213,-0.7020833620871906,15.672674249810976,28.413334322526403,52.016717362811285,69.88772658703662,FAIL*,FAIL (Grade D)*
R8-5 R8-4 + generic PPG change features,MIMIC,DBP,6.875280206928734,0.49219137235408594,-0.19767862838279848,9.618957862329742,48.35546652817963,77.92739322897346,90.73620693918936,FAIL*,FAIL (Grade C)*
R8-7 Direct demographics + 256-D,MIMIC,SBP,12.118603604075185,0.5047178483319995,-1.8404534472424408,15.804527745781943,28.470212923807402,52.11069070405816,69.41415040680565,FAIL*,FAIL (Grade D)*
R8-7 Direct demographics + 256-D,MIMIC,DBP,6.925618386638298,0.48203534616256394,-0.9677178277711586,9.66841146112545,48.45685881741969,77.57128372530109,90.44810445878775,FAIL*,FAIL (Grade C)*
R8-8 Quality Gate + Huber 128-D,MIMIC,SBP,12.297814461345132,0.4930256369649362,-1.512278649108707,16.026853422800325,28.16109009075846,51.38734327472364,68.72047876944383,FAIL*,FAIL (Grade D)*
R8-8 Quality Gate + Huber 128-D,MIMIC,DBP,7.07726933919178,0.46776111421248956,-0.9494528621276709,9.803831223963492,47.50476049162896,76.52397556693128,89.81131142270694,FAIL*,FAIL (Grade C)*
Quality Gate + Huber (256-D),VitalDB,SBP,10.200354725487593,0.5083991997342878,-0.19982927640979645,13.419240111173592,32.9131776112825,58.83208461877479,77.06037902159541,FAIL*,FAIL (Grade D)*
Quality Gate + Huber (256-D),VitalDB,DBP,5.872754691885977,0.5546802376161705,-0.12503859031142617,7.904233703187589,53.1996474217717,82.74570295284266,94.65403261348612,PASS*,PASS (Grade B)*
R8-1 Pairwise delta,VitalDB,SBP,10.10273904375906,0.508965163388625,-0.9091378562930609,13.382152633252318,33.85632437197003,59.669457910974,77.5055090348171,FAIL*,FAIL (Grade D)*
R8-1 Pairwise delta,VitalDB,DBP,5.715072880152723,0.568818623791602,-0.6271725793723337,7.753393909400316,55.0110180696342,83.64918466284706,94.69810489202291,PASS*,PASS (Grade B)*
R8-2 Pairwise delta + causal time,VitalDB,SBP,9.96578771793774,0.5289555414432995,-0.07421120365793456,13.136927466704018,33.459673865138825,60.45835169678272,77.90656676950198,FAIL*,FAIL (Grade D)*
R8-2 Pairwise delta + causal time,VitalDB,DBP,5.726210321230529,0.5683343668522148,0.23274063742491788,7.77960577247544,55.00220361392684,83.53900396650506,94.78624944909652,PASS*,PASS (Grade B)*
R8-3 Pairwise delta + range auxiliary,VitalDB,SBP,10.216530267169897,0.5045125682520628,-1.287467370132036,13.412020840040823,33.071837814014984,59.171441163508156,77.06919347730278,FAIL*,FAIL (Grade D)*
R8-3 Pairwise delta + range auxiliary,VitalDB,DBP,5.781758025712828,0.5621371289722975,-0.24355720647792556,7.834971837321223,54.358748347289556,83.3979726751873,94.52181577787572,PASS*,PASS (Grade B)*
R8-4 Pairwise delta + causal time + range,VitalDB,SBP,9.982703398985713,0.5229866923972237,-1.3296386338793376,13.153070372172326,34.18245923314235,60.25561921551345,77.80960775672102,FAIL*,FAIL (Grade D)*
R8-4 Pairwise delta + causal time + range,VitalDB,DBP,5.882127523779501,0.5454308525116001,-1.74085942836205,7.79485753358165,53.72410753635963,82.78096077567211,94.0855002203614,PASS*,PASS (Grade B)*
R8-5 R8-4 + generic PPG change features,VitalDB,SBP,10.052008185758629,0.5213546867468604,-0.1603255606895504,13.241733896740001,33.37593653591891,60.211546936976646,77.54076685764653,FAIL*,FAIL (Grade D)*
R8-5 R8-4 + generic PPG change features,VitalDB,DBP,5.722150511928675,0.5692771777487903,0.07920507680692038,7.774178827988461,54.7686205376818,83.45085940943147,94.7906566769502,PASS*,PASS (Grade B)*
R8-7 Direct demographics + 256-D,VitalDB,SBP,10.195557148690893,0.5105439050524523,0.6714039482698403,13.374578283923688,32.73248126928162,58.986337593653595,76.96782723666814,FAIL*,FAIL (Grade D)*
R8-7 Direct demographics + 256-D,VitalDB,DBP,5.807896973268216,0.5642884548616642,0.29728086983490326,7.813822820349876,53.962097840458355,82.97487880123401,94.89202291758484,PASS*,PASS (Grade B)*
R8-8 Quality Gate + Huber 128-D,VitalDB,SBP,10.253204648323445,0.49891201060671375,0.2118812873742821,13.547952680508152,33.23490524460115,59.13177611282503,76.72542970471574,FAIL*,FAIL (Grade D)*
R8-8 Quality Gate + Huber 128-D,VitalDB,DBP,5.79105606600281,0.5623696578391082,-0.01569082311409168,7.836659301019915,54.09872190392243,83.10268840899074,94.83913618334068,PASS*,PASS (Grade B)*
