Comparison,Candidate,Reference,Scope,K,N participants,mean_delta_mmHg,ci95_low_mmHg,ci95_high_mmHg,bootstrap_standard_error_mmHg,paired_difference_sd_mmHg,paired_standardized_effect,bootstrap_fraction_improved
Quality gate vs M0,PPG quality gate,Fixed-first M0,MIMIC,5,316,-0.420035,-0.633686,-0.218247,0.106663,1.910500,-0.219856,1.000000
Quality gate vs M0,PPG quality gate,Fixed-first M0,MIMIC,All K,316,-0.344741,-0.537702,-0.163758,0.095517,1.697878,-0.203043,0.999950
Quality gate vs M0,PPG quality gate,Fixed-first M0,VitalDB,1,381,-0.108127,-0.252090,0.030916,0.071980,1.402457,-0.077098,0.937300
Quality gate vs M0,PPG quality gate,Fixed-first M0,VitalDB,2,381,-0.006197,-0.123944,0.113487,0.060475,1.183796,-0.005234,0.531800
Quality gate vs M0,PPG quality gate,Fixed-first M0,VitalDB,3,381,-0.014271,-0.122691,0.090850,0.054659,1.073874,-0.013289,0.596700
Quality gate vs M0,PPG quality gate,Fixed-first M0,VitalDB,5,381,-0.008958,-0.109204,0.089918,0.050979,0.999769,-0.008961,0.566400
Quality gate vs M0,PPG quality gate,Fixed-first M0,VitalDB,All K,381,-0.034388,-0.144261,0.070285,0.054776,1.069490,-0.032154,0.731900
CVaR vs M0,Participant CVaR,Fixed-first M0,Overall,1,697,0.058313,-0.052193,0.169998,0.056721,1.496845,0.038958,0.150800
CVaR vs M0,Participant CVaR,Fixed-first M0,Overall,2,697,0.026905,-0.066398,0.121450,0.047955,1.271466,0.021161,0.283450
CVaR vs M0,Participant CVaR,Fixed-first M0,Overall,3,697,-0.001361,-0.091376,0.089291,0.045835,1.215046,-0.001120,0.511400
CVaR vs M0,Participant CVaR,Fixed-first M0,Overall,5,697,-0.019676,-0.103915,0.064144,0.042875,1.126387,-0.017469,0.671600
CVaR vs M0,Participant CVaR,Fixed-first M0,Overall,All K,697,0.016045,-0.073081,0.103937,0.045197,1.202277,0.013346,0.354950
CVaR vs M0,Participant CVaR,Fixed-first M0,MIMIC,1,316,-0.092424,-0.250667,0.068736,0.080978,1.444597,-0.063979,0.877100
CVaR vs M0,Participant CVaR,Fixed-first M0,MIMIC,2,316,-0.064650,-0.218258,0.091069,0.078239,1.395143,-0.046339,0.800200
CVaR vs M0,Participant CVaR,Fixed-first M0,MIMIC,3,316,-0.058155,-0.209994,0.095460,0.078202,1.378555,-0.042186,0.775500
CVaR vs M0,Participant CVaR,Fixed-first M0,MIMIC,5,316,-0.052981,-0.200320,0.092463,0.074709,1.336273,-0.039649,0.761400
CVaR vs M0,Participant CVaR,Fixed-first M0,MIMIC,All K,316,-0.067053,-0.214583,0.082322,0.075874,1.352441,-0.049579,0.811800
CVaR vs M0,Participant CVaR,Fixed-first M0,VitalDB,1,381,0.183334,0.032919,0.338646,0.078296,1.529467,0.119868,0.008150
CVaR vs M0,Participant CVaR,Fixed-first M0,VitalDB,2,381,0.102841,-0.015102,0.217444,0.058986,1.155311,0.089016,0.041550
CVaR vs M0,Participant CVaR,Fixed-first M0,VitalDB,3,381,0.045744,-0.064222,0.147997,0.054465,1.060084,0.043151,0.197600
CVaR vs M0,Participant CVaR,Fixed-first M0,VitalDB,5,381,0.007946,-0.086302,0.096709,0.046671,0.917570,0.008660,0.425300
CVaR vs M0,Participant CVaR,Fixed-first M0,VitalDB,All K,381,0.084966,-0.022805,0.188779,0.054068,1.058661,0.080258,0.061500
