Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Huber + CVaR (K=3),DBP,7.230222,0.443912,-1.191790,9.997169,46.739372,75.720256,89.299404,FAIL*,FAIL (Grade C)*
Huber + CVaR (K=5),SBP,12.515986,0.479131,-0.608654,16.305800,26.766328,50.489651,68.161585,FAIL*,FAIL (Grade D)*
Huber + CVaR (K=5),DBP,7.103478,0.455628,-1.170852,9.892282,47.561639,76.446077,89.742068,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=1),SBP,12.599047,0.468850,-0.354778,16.473575,27.213938,50.281920,67.621238,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=1),DBP,7.575928,0.411034,-0.318108,10.356431,43.892969,73.347429,88.326285,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=2),SBP,12.365732,0.487342,0.065135,16.187901,27.359844,51.122734,68.829290,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=2),DBP,7.430239,0.430861,-0.200172,10.183453,44.879689,74.287163,88.687341,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=3),SBP,12.255534,0.497835,-0.025664,16.021488,27.336350,51.323046,69.248461,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=3),DBP,7.316140,0.446070,-0.175363,10.046879,45.515246,75.132923,89.267255,FAIL*,FAIL (Grade C)*
Quality gate + Huber + CVaR (K=5),SBP,12.056345,0.509001,-0.164105,15.841527,28.368821,52.285036,69.893909,FAIL*,FAIL (Grade D)*
Quality gate + Huber + CVaR (K=5),DBP,7.154926,0.464012,-0.172292,9.882828,46.344932,76.164157,89.922596,FAIL*,FAIL (Grade C)*
