candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,random_disjoint,20260828,Overall,2051,82040,8.728048324584961,5.33429479598999,7.0311713218688965,-0.0660926476120948,-0.0796354413032531,10.11438274383545,5.707646369934082
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,random_disjoint,20260828,Overall,2051,82040,9.30657196044922,5.698421955108643,7.502496719360352,-0.3064437806606293,-0.289814680814743,10.977123260498049,6.010949611663818
patch_transformer,population_regression,patch_transformer,random_disjoint,20260828,Overall,2051,82040,9.414332389831545,5.746225357055664,7.580277919769287,0.2093443274497985,-0.6508975028991699,10.905244827270508,6.152975082397461
compact_resnet,population_regression,resnet_small,random_disjoint,20260828,Overall,2051,82040,9.455022811889648,5.76580810546875,7.610415935516357,-0.2444456815719604,-0.2887226939201355,11.020298957824709,6.146660804748535
subject_train_mean,analysis_baseline,,random_disjoint,20260828,Overall,2051,82040,10.416317144282363,5.542326513970697,7.979321829126531,0.1135266298963408,0.0458869414498483,11.590195109912246,6.429288420789248
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,random_disjoint,20260828,Overall,2051,82040,10.164994239807127,6.216169357299805,8.190581321716309,-0.1261817663908004,-0.3892135322093963,11.929656982421877,6.585515022277832
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,random_disjoint,20260828,Overall,2051,82040,10.7820463180542,6.578798294067383,8.680421829223633,-0.745930552482605,-0.5818761587142944,12.641453742980955,6.980076789855957
subject_mean_residual_ppg,subject_mean_residual,resnet_small,random_disjoint,20260828,VitalDB,1040,41600,7.627701282501221,4.205235958099365,5.916468143463135,0.1317146569490432,0.0722751393914222,8.065828323364258,4.995314598083496
inception_time_wide,population_regression,inception_time_wide,random_disjoint,20260828,VitalDB,1040,41600,8.16025447845459,5.18073844909668,6.670496463775635,0.1389605551958084,-0.0939154997467994,9.658858299255373,5.3897705078125
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,random_disjoint,20260828,VitalDB,1040,41600,8.538471221923828,5.460452079772949,6.999462127685547,0.0117328828200697,-0.0453585013747215,9.780317306518556,5.807666778564453
patch_transformer,population_regression,patch_transformer,random_disjoint,20260828,VitalDB,1040,41600,9.055532455444336,5.882156848907471,7.468844890594482,-0.0518234334886074,-0.5243363976478577,10.427842140197754,6.20070219039917
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,random_disjoint,20260828,VitalDB,1040,41600,9.099028587341309,5.873070240020752,7.486049175262451,0.2801137566566467,0.0527095459401607,10.733916282653809,6.094106674194336
compact_resnet,population_regression,resnet_small,random_disjoint,20260828,VitalDB,1040,41600,9.19824504852295,5.90057897567749,7.549412250518799,0.2138838022947311,0.0353315025568008,10.738388061523438,6.182708263397217
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,random_disjoint,20260828,VitalDB,1040,41600,9.62336254119873,6.257328510284424,7.940345287322998,-0.3028685748577118,-0.2971634566783905,11.322955131530762,6.490655422210693
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,random_disjoint,20260828,VitalDB,1040,41600,10.07364273071289,6.569909572601318,8.321776390075684,-0.6876444816589355,-0.5559291243553162,11.81556797027588,6.824437618255615
subject_train_mean,analysis_baseline,,random_disjoint,20260828,VitalDB,1040,41600,10.84759054117688,5.855418210995167,8.351504376086023,0.1419436485755129,0.1090099066649069,11.601758099025211,6.958538494826371
